word,definition,language,link,source
dalamúnon,"Lingering, tarrying, stopping; delaying, staying on, protracting one's stay, remaining at peace, having one's mind at rest. Indì akó dalamúnon dirí, kay may bisíta akó sa baláy. I cannot tarry here, for I have visitors at home. (see daramúnon, darámnon, ogkánan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalamunon/,PinoyDictionary-Hiligaynon
dalán,"Line, row, tier. Isá ka dalán nga maís. One row of maize (on the cob). Pilá ka dalán ang isá ka kayán? How many rows of corn are there on a cob? Walâ siá magsulát sa ákon sing bisán isá ka dalán. He did not write me a line. (see dinalán).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalan/,PinoyDictionary-Hiligaynon
dálan,"Road, street, way, course, route, track, pathway, causeway, highway, thoroughfare, path, passage. (see bánas, baginás, alágyan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalan/,PinoyDictionary-Hiligaynon
dalándan,See dagándan.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalandan/,PinoyDictionary-Hiligaynon
dalándan,"To descend quickly, hurry-down stairs,-down a ladder, fly down stairs. Nagdalándan siá sa pagpanáug. He went down quickly. Nagadalándan siá sing daláyon kon manáug. He always goes down the stairs in a hurry.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalandan/,PinoyDictionary-Hiligaynon
dalandanón,"(H) Naughty, wayward, frivolous, restless, fidgety, very lively. (see harásharás, diwal-ogán, darándarán, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalandanon/,PinoyDictionary-Hiligaynon
daláng,"To happen, chance, come to a place (for the first time). Nakadaláng siá dirí kahápon. He happened to come here yesterday (for the first time). (see típlang).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalang/,PinoyDictionary-Hiligaynon
daláng-dálang,Dim. and Freq. of daláng.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalang-dalang/,PinoyDictionary-Hiligaynon
daláng-dálang,"To lose oneself, lose one's way, miss the road, take a wrong turning, stray, go astray. Nagdalángdálang silá sa paglakát. They lost their way on their walk. (see talángtálang).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalang-dalang/,PinoyDictionary-Hiligaynon
dalángpan,"(A) Refuge, asylum, sanctuary, shelter. (dangúp; see apútan, paaliwánsan, sáp-an, aláypan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalangpan/,PinoyDictionary-Hiligaynon
dalanón,"Road, etc. See dálan. Indì ka mahádluk magkádto dídto, kay madámù ang mga táo nga nagalakát sa amó nga dalanón. Don't be afraid to go there, for there are many people walking on the same road.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalanon/,PinoyDictionary-Hiligaynon
"dalaóra, dalaúra","Sun-kissed or sun-coloured clouds, as often seen at sun-rise and sun-set.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalaora-dalaura/,PinoyDictionary-Hiligaynon
dalapitón,"A guest (to be invited); one that is to be-, should be-, is worthy of the distinction of being-, invited. (see dápit).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalapiton/,PinoyDictionary-Hiligaynon
dalapúgan,"Hearth, fireplace, kitchen, stove. (see dapóg, digamohán, lulutoán, sun-adán).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalapugan/,PinoyDictionary-Hiligaynon
dalarohón,"Arable, tillable (of soil; see dáro).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalarohon/,PinoyDictionary-Hiligaynon
dalás,"To be quick, precipitate, impulsive, thoughtless, impetuous, hasty. Indì ka magdalás sa paghámbal. Don't be precipitate of speech. Gindalás gid níya ang pagbúhat sinâ. He did that-on the spur of the moment,-under the first impulse or impression,-in thoughtless haste. (see dalî, tabinás).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalas/,PinoyDictionary-Hiligaynon
dalasâ,"Collision, impact; to collide, run into, run against something with force, cause an impact, knock down. Gindalasâ siá sang áwto. He was knocked down by the automobile. Andam ka, agúd dílì mo siá pagdalasaón. Be careful not to run into him. (see dagasâ).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalasa/,PinoyDictionary-Hiligaynon
dálat,"Nonsense, bosh, twaddle; to prate, prattle, talk nonsense. Hinúgay na sang dálat sang ímo sugilánon. Stop this kind of bosh. Don't talk such nonsense. (see búrà, lásang, dampúrat, wákal, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalat/,PinoyDictionary-Hiligaynon
dálaw,"To visit, to pay a visit of condolence. (dáraw id.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalaw/,PinoyDictionary-Hiligaynon
daláwat,"(H) To buy cereals, especially rice or corn. Dalawáta ang bugás ko. Buy my hulled rice. Dalawáti akó sing isá ka gántang nga bugás. Buy me a ganta of hulled rice. Indì ka makadaláwat dirí sing humáy, kay walâ sing makapadaláwat. You cannot buy rice here, because nobody can sell it. Idaláwat akó ánay sing tátlo ka gántang nga maís. Please buy for me three gantas of corn. Iníng písos idaláwat mo sing maís. This peso is for buying corn. This peso is to buy corn with. Walâ akó sing ikadaláwat. I have no means to buy rice (corn, etc.) with. Padalawáta akó sang ímo humáy. Sell me your rice.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalawat/,PinoyDictionary-Hiligaynon
daláwdaw,"To extend, stretch out, creep along the ground, as creepers. Ang biká nagdaláwdaw. The bica-vine has spread over the ground. Nagadaláwdaw ang mga ógbos sang mga balágon. The shoots of the vines are creeping along the ground.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalawdaw/,PinoyDictionary-Hiligaynon
dalawháton,"(H) Obtainable, receivable; wages, earnings; chance, scope. (see dáwhat, dalayháton).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalawhaton/,PinoyDictionary-Hiligaynon
dalawídaw,A kind of bird. (darawídaw id).,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalawidaw/,PinoyDictionary-Hiligaynon
dalay-áhan,"(H) Beach, sea-shore, coast, strand, sea-side. (see dái-a, dáy-a, báybay, baybáyon).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalay-ahan/,PinoyDictionary-Hiligaynon
dalayán-dayánan,"(H) Promenade, walk, esplanade, park for recreation and promenading. (dayándáyan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayan-dayanan/,PinoyDictionary-Hiligaynon
daláyap,"A kind of Philippine orange tree with small fruit, whose sour juice is pressed out and made use of for cleaning the hair and scalp, for taking stains out of clothes, and the like. Butangán mo sing daláyap ang ímo báyò agúd magtínlò. Apply daláyap to your jacket to clean it.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayap/,PinoyDictionary-Hiligaynon
dalayawón,"(H) Amenable to flattery, one who likes to be flattered or praised; pompous, self-important. (dayáw, apót).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayawon/,PinoyDictionary-Hiligaynon
dalayáwon,"(H) Praiseworthy, estimable, meritorious, laudable, commendable. (dáyaw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayawon/,PinoyDictionary-Hiligaynon
daláyday,"To stroke, rub, massage slowly,-gently,-in even, regular strokes, plain, simple (of speech). Idaláyday akó ánay sang ákon likód, kay ginasíkmat akó. Please rub my back gently, for I have rheumatic pains. Daláyday-or-dinaláyday nga hámbal. Prose, plain (not poetical) speech. (see dagáyday).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayday/,PinoyDictionary-Hiligaynon
dalayháton,"Obtainable, etc. See dalawháton. (see dáyhat).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayhaton/,PinoyDictionary-Hiligaynon
daláyon,"(H) Pl. form of dáyon. Nagdaláyon silá sa ákon baláy. They stayed at my home. Also adjective: Continuous, constant, persevering; always. Daláyon gid lang nagagáhud iníng mga bátà. These children are always so noisy. (dáyon).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayon/,PinoyDictionary-Hiligaynon
dalayonán,"(H) Residence, house, inn, hostel, hostelry, lodging-house, hotel, lodgings, any place where one can stay or remain for sometime. (see dáyon).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalayonan/,PinoyDictionary-Hiligaynon
dáldag,An adze; to use or apply an adze. Daldagí ang káhoy. Use an adze to trim the wood. (see wásay-hatchet).,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daldag/,PinoyDictionary-Hiligaynon
dáldal,"To beat against, strike upon, push, impel, force on, shove, drive (said of wind, waves, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daldal/,PinoyDictionary-Hiligaynon
dáldal,"To carry or take along with, push on, push into, involve, implicate. Gindáldal siá sang kusúg nga índì makítà. He was carried along by an unseen force. Indì mo siá pagdaldalón. Don't involve or implicate him. Nadáldal siá nga walâ sing salâ. He became implicated through no fault of his. (see úmid, daláhig).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daldal/,PinoyDictionary-Hiligaynon
dálhag,"To creep, crawl, wriggle, along the floor, as small children not yet able to walk. Ang bátà nagadálhag sa salúg or ang salúg ginadalhagán sang bátà. The baby is crawling along the floor. (see ígod, íwos, híwos),",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhag/,PinoyDictionary-Hiligaynon
dálhag,"To slip, skid, slide sideways. (see dalín-as, dúpyas, wárik).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhag/,PinoyDictionary-Hiligaynon
dálhay,"Landslide, a portion of land that falls down from the side of a hill, of a steep river-bank etc. usually due to the undermining effect of water; diminution, lessening, decrease; to cave in, fall down, crumble. (see típhag, hunâ, kadalháyan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhay/,PinoyDictionary-Hiligaynon
dálhit,"Fear, apprehension, dread, misgiving, trepidation, funk; to be fearful, to dread, fear, frighten, fill with apprehension. May dálhit siá or ginadalhitán siá. He is full of dread. He is filled with apprehension. Nagadálhit ang ginháwa ko. I am afraid. Anó ang nagapadálhit sa ímo. What makes you afraid? What is frightening you? Padalhitá siá. Make him afraid. Intimidate-, scare-, alarm-, him. Ipadálhit mo sa íya inâ. Make use of that-to put fear into him,-to dismay-, terrify-, him. (see hádluk).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhit/,PinoyDictionary-Hiligaynon
dálhog,"The edible shoots and tender leaves of vines or creepers, particularly of the balátong (hántak).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhog/,PinoyDictionary-Hiligaynon
dálhog,"To be slippery, etc. See dánlug.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhog/,PinoyDictionary-Hiligaynon
dálhon,"(H) For dalahón from dalá-to bring, etc. (see dál-on).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalhon/,PinoyDictionary-Hiligaynon
dalî,"To be quick, prompt, fast, swift, speedy, rapid; to hasten, hurry, skurry, make haste, quicken, speed up, accelerate. Tungúd sa anó nga nagadalî ikáw? Why are you in such a hurry? Nagdalî siá sa pagpaúlì, kay masakít si nánay níya. He hurried home, because his mother is sick. Daliá! Be quick! Hasten! Make haste! Gindalî níya ang pagsulát sa kay Fuláno. He wrote N.N. without delay. Dinalián níla ang baláy sang trabáho. They set to work on the house with despatch, without delay. Padaliá ang íya paglakát. Tell him to walk fast.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dali/,PinoyDictionary-Hiligaynon
dalî-dálì,Dim. and Freq. of dalî. Anó ang ímo nga ginadalîdálì-or-anó ang ginadalîdalián mo? Why are you in such a hurry? What is the reason of your haste?,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dali-dali/,PinoyDictionary-Hiligaynon
dália,"(Sp. dalia) Dahlia, a kind of flower.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalia/,PinoyDictionary-Hiligaynon
dáliang,"To be sludgy, muddy, slushy, wet and soft, (as mud or the like). Nagadáliang ang lúnang, lílang, etc. The mud, the pickled fish, etc, is wet and soft.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daliang/,PinoyDictionary-Hiligaynon
dálig,"(B) To be or become nice, beautiful, fine, good. Nagdálig na iníng páhò. This mango-tree has grown into a fine specimen. Nadaligán akó siníng simbáhan, ápang ang ákon mga kaupdánan walâ pagdaligí siní. I considered this church beautiful, but my companions did not think so. Note the accent. Padalíga ang mga puní. Make the decorations attractive. (see tahúm, ányag, áyo, gayón, ámbong).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalig/,PinoyDictionary-Hiligaynon
dalígdig,"(B) To flow, run freely, stream, sweep along, (said of water). Ang túbig nagadalígdig. The water is flowing. Padaligdigá ang túbig sa ákon umá or padaligdigí ang ákon umá sing túbig. Let the water flow over my field. (see ílig).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daligdig/,PinoyDictionary-Hiligaynon
dalihát,"See dalikát, which is the more usual form.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalihat/,PinoyDictionary-Hiligaynon
"dalíhì, dalihî","To fall down, crumble away, etc. See dálhay, ós-os).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalihi-dalihi/,PinoyDictionary-Hiligaynon
dalíhig,"(B) To flow, etc. See dalígdig, ílig.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalihig/,PinoyDictionary-Hiligaynon
dalikát,"To find time, do at once or promptly, perform without delay. Indì akó makadalikát sa pagdúaw sa ínyo. I have no time to pay you a visit at once. Dalikatá ang maís dídto, kay malapít ang ulán. Be quick with the corn there, for the rain is near. Dalikatí akó sa pagbakál sing tátlo ka abáno. Buy me quickly three cigars. (see dalî).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalikat/,PinoyDictionary-Hiligaynon
dalíkdik,"Dandruff. See adíkdik, alíkdik.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalikdik/,PinoyDictionary-Hiligaynon
dalíkdik,"To walk along the border, walk at the side of. (see alíhid).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalikdik/,PinoyDictionary-Hiligaynon
dalimasô,"(B) To form pus, gather, discharge matter, etc. See dágsang, dalâ. Nagdalimasô ang íya pilás, hubág, etc. His wound festered, his boil gathered to-, came to-, a head, etc.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalimaso/,PinoyDictionary-Hiligaynon
dalimúos,"A gust, flaw, flurry, blast (of wind); a fit of anger or passion. (see unús).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalimuos/,PinoyDictionary-Hiligaynon
dalín-as,"To slip, slide, skate, skid. Nakadalín-as akó. I slipped. Padalin-asá siá. Make him slip. Ang kadánlug sang dálan nagpadalín-as sa ákon. The greasiness of the road caused me to slip. Pinadalín-as ang áwto sang ulán. The rain caused the automobile to skid. (see dúpyas).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalin-as/,PinoyDictionary-Hiligaynon
dalíngag,"A prickle, spine, spur, sharp thorn or prick sticking out of the ground, sharp, prickly shoots near the ground peculiar to some creepers and very painful to the bare foot, if accidentally trodden upon.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalingag/,PinoyDictionary-Hiligaynon
dalípì,"Rock, cliff, crag; headland; rocky island.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalipi/,PinoyDictionary-Hiligaynon
dalipúngut,"Rage, passion; to fly into a rage, etc. See alipúngot, id.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalipungut/,PinoyDictionary-Hiligaynon
dalísay,"Strong in every sense. Dalísay nga bíno, baláy, táo, káhoy, bató, balatiágon, gúgma, etc. A strong wine, house, man, tree, stone, feeling, love, etc. Nagadalísay ang íya kabubút-on. His resolution strengthened. (see mabáskug, maísug, mapúrus, hámrus, matíg-a, mapág-on, mabákud, malíg-on, makúsug, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalisay/,PinoyDictionary-Hiligaynon
dálit,"Poison, venom, bane, (especially of animals like snakes, scorpions, certain fishes and insects), (see hilô-poison that contaminates food or drink).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalit/,PinoyDictionary-Hiligaynon
dalítan,"Poisonous, venomous, baneful. Mán-og nga dalítan. A poisonous snake.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalitan/,PinoyDictionary-Hiligaynon
dálò,"To fondle, dandle, pet, caress, treat tenderly. Dalóa ang bátà. Fondle the baby. Idálò akó siníng bátà. Please pet the baby. (see álò, arôárò, ánggà).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalo/,PinoyDictionary-Hiligaynon
dalô-dálò,"Dim. and Freq. of dálò. Also: To flatter, cajole, coax, wheedle.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalo-dalo/,PinoyDictionary-Hiligaynon
"dalôdô, dalódò","The first swelling or a rising of a river coming down-stream after a heavy rain, first onrush of a flood or freshet, the crest of a flood; to swell, rise, become flooded (of rivers, etc.). Nagadalôdô ang subâ. The river is rising. Dalî kamó sa pagtabók, kay may dalôdô sa ilayá. Be quick in crossing, for there is a flood coming down from further up river. Nadalôdoán kamí. We were overtaken by the flood. (see búlus).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalodo-dalodo/,PinoyDictionary-Hiligaynon
dalógdog,A kind of thorny shrub; its fruit. (see búgtong).,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalogdog/,PinoyDictionary-Hiligaynon
dalogdogán,A place where dalógdog grows-or-a field overgrown with dalógdog.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalogdogan/,PinoyDictionary-Hiligaynon
dalóhog,"To slide-, glide-, slip-, skid-, down a-chute,-waterfall,-hill-side, etc. Ang káhoy nagdalóhog lang sa dululhúgon. The tree slid down the slope. Ipadalóhog lang ang ímo karósa. Let your sledge slide down. Padalohógi akó sing isá ka nahót nga kawáyan. Slide down for me one piece of bamboo. Indì mo pagidalóhog ang káhoy sa bánglid, kay básì malitík. Don't slide the timber down the incline, for it may split. (see dáhog).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalohog/,PinoyDictionary-Hiligaynon
dalók,"Greedy, gluttonous; a glutton, gourmand; to be or become greedy, etc.; pagdinalók-to gorge, over-eat oneself, gourmandize, stuff oneself with food, eat greedily, voraciously, ravenously. Dalók nga bátà. A greedy child. Mahínay siá sa pagkáon sádto ánay, ápang karón nagdalók. He used to eat slowly, but now he has become greedy. Nagadinalók siá sa pagkáon. He eats ravenously. (see kágud).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalok/,PinoyDictionary-Hiligaynon
dálpot,"(B) Use, usefulness, profitableness, (see águd, agúdagúd, pulús, ásoy, kapuslánan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalpot/,PinoyDictionary-Hiligaynon
dalúkut,(H) See baríri id.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalukut/,PinoyDictionary-Hiligaynon
dálum,"Depth, profundity, deepness: to deepen, make-, become-, deep. Nagdálum ang lúblub tungúd sang madámol nga ulán. The defile deepened on account of the heavy rain. Ginpadálum níla ang búhò. They dug the hole deep. Padálma (Padalúma) ang búhò sang lusóng. Deepen the cavity of the rice-pounding mortar. Ginpadálman (Pinadálman, Pinadalúman) níya ang amó nga butáng sang íya painóíno. He thought profoundly over it. He pondered long and deeply over that matter. Nagapadálum siá sang íya nga painóíno. He is thinking deeply, profoundly. (see nábaw-to be shallow, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalum/,PinoyDictionary-Hiligaynon
dalúndun,"See padalúndun-to carry-, push-, along.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalundun/,PinoyDictionary-Hiligaynon
dalúng,"(B) To frown upon, scowl at, look darkly at. Indì ka magdalúng (magpadalúng) sa ákon or índì mo akó pagdalungán (pagpadalungán, pagpadálngan). Don't scowl at me. N.B. The Caus. form padalúng is more in use. (see lárong, pasíblong, pamúdlat).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalung/,PinoyDictionary-Hiligaynon
dalúngdung,"A feeble-, mild-, soft-, light, as the light of the moon; to shine-mildy,-feebly. N.B. The Freq. panalúngdung is commonly used.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalungdung/,PinoyDictionary-Hiligaynon
dalúnggan,"(H) Ear, sense of hearing, organ of hearing, audition; ear (of a pot or kettle, etc.); handle, loop, grip, any projecting part from the side of a thing. (see talínga, dulúnggan, idulúngug, dungúg, kaláptan, uluyatán, buyótan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalunggan/,PinoyDictionary-Hiligaynon
dalúnghan,"(B) Hearth, open fire-place for cooking purposes. (see dapóg).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalunghan/,PinoyDictionary-Hiligaynon
dalúpang,"The mallow, a kind of plant.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalupang/,PinoyDictionary-Hiligaynon
dalupanî,"A small white fish with a flattish body, resembling somewhat the bilóngbilóng.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalupani/,PinoyDictionary-Hiligaynon
dalupápan,"To be confluent, meet each other, flow together, said especially of boils, eruptions, pimples, small-pox, etc. Nagadalupápan ang íya mga hubág. His boils are confluent, are so near together that they merge into one another. Nadalupapánan akó sang ákon mga hubág. My boils ran together.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalupapan/,PinoyDictionary-Hiligaynon
dalupíngan,"A fresh-water fish. It is flat, and grows to a length of about five inches.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalupingan/,PinoyDictionary-Hiligaynon
dalús-us,"To glide-, slide-, skid-, down, etc. See alóg-og id. Nagdalús-us lang siá sa kawáyan. He simply slid down the bamboo. Gindalus-usán níya ang halígi. He slid down the post. (see kalós-os).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalus-us/,PinoyDictionary-Hiligaynon
dalusó,"To become worse through heat, applied to wounds, ulcers, etc. Nagdalusó ang íya nga pilás. His wound became worse on account of the heat.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daluso/,PinoyDictionary-Hiligaynon
dalusó,"To scratch, excoriate, strip the skin from, scrape off, abrade, rub open, tear off a piece. Nakasúnggò akó sa isá ka bató kag nagdalusó ang pánit sang ákon bútkon. I stumbled against a stone and some of the skin of my arm was scraped off.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daluso/,PinoyDictionary-Hiligaynon
dalútang,"To be muddy, sludgy. See dáliang id.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalutang/,PinoyDictionary-Hiligaynon
dalwásì,"A large pan, kettle, bowl, used for boiling purposes, but not quite as capacious as a káwà.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalwasi/,PinoyDictionary-Hiligaynon
"dályang, dalyáng","See dáliang-to be slushy, etc.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dalyang-dalyang/,PinoyDictionary-Hiligaynon
dáma,"(Sp. dama) Lady, gentlewoman, dame; game of draughts or checkers; to play draughts,-checkers. Mahámpang kitá sang dáma. Let us play draughts. Damáhi siá. Play a game of draughts with him. Idáma ta lang iníng mga dakáldákal. Let us use these pebbles as draughtsmen.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dama/,PinoyDictionary-Hiligaynon
damá,"To overcome, beat, conquer, etc. See daúg, bagít. Indì akó kadamá sa íya sa súngka. I cannot beat him at the game of ""súngka"". (súngka-a game played with stones).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/dama/,PinoyDictionary-Hiligaynon
damágan,A kind of small fish.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damagan/,PinoyDictionary-Hiligaynon
damahán,"A draught-board, checker-board; queen in the game of draughts. (see dáma).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damahan/,PinoyDictionary-Hiligaynon
damahuána,"(Sp. damajuana) Demi john, carboy, large wicker-bottle containing about twenty quarts.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damahuana/,PinoyDictionary-Hiligaynon
damák,"Slovenly, dirty, untidy, slatternly, sluttish, bedraggled, draggletail; to become slovenly, etc. Sádto sang dalága pa siá mahípid siá kaáyo, ápang karón, kay kasáda na, nagdamák. Formerly, when she was single, she used to be very tidily dressed, but now that she is married, she has become a slattern. (see sáprat).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damak/,PinoyDictionary-Hiligaynon
damán,To talk in one's sleep. Ginadamán (Nagadamán) siá. He talks in his sleep. Ginadamán siá sang íya nga sugilánon kaína. He is repeating in his sleep his conversation of a short while ago. (see súmat).,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/daman/,PinoyDictionary-Hiligaynon
damáng,(H) A spider.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damang/,PinoyDictionary-Hiligaynon
damáng-dámang,(B) Dim. of damáng. Also: Anything resembling a spider.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damang-damang/,PinoyDictionary-Hiligaynon
damáso,"(Sp. damasco) Damask, figured silk stuff; a kind of very thin and transparent cloth; fine thread or yarn.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damaso/,PinoyDictionary-Hiligaynon
dámgo,"A dream; to dream. Anó ang dámgo mo or anó ang gindámgo mo? What was your dream, what did you dream? Gindámgo níya ang íya pagkabátà. He dreamt of his childhood. Gindámgo lang níya inâ. He merely dreamt it. It is only his fancy. (see dalamgohánon).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damgo/,PinoyDictionary-Hiligaynon
dámgot,"To begin to eat or graze, start taking other food than milk, said of a baby and of a young animal. Nagadámgot na ang bátà, tínday. The baby, the calf, is now commencing to take other food than milk. (see lánggot).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damgot/,PinoyDictionary-Hiligaynon
dámhag,"To fall upon, attack with one's arms, etc. See hámag.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damhag/,PinoyDictionary-Hiligaynon
dámhag,"To fall-headlong,-on one's face,-head foremost,-head first,-prone,-heels over head,-head over heels. Nakadámhag siá. He fell head foremost. Dinamhagán akó níya. He fell on me prone. (see dágpà, dúsmò, sukámod, kulúb).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damhag/,PinoyDictionary-Hiligaynon
dámhuy,"To lick, lap, draw or pass the tongue over, take in with the tongue. (see dílap, láklak).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damhuy/,PinoyDictionary-Hiligaynon
"damhúyan, damhuyán",That is to be licked or taken in with the tongue. Walâ gid silá sing damhúyan (damhuyán). They have nothing to eat.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damhuyan-damhuyan/,PinoyDictionary-Hiligaynon
damíg,"Cold, stiff; to be or become cold. Nagdamíg na ang minatáy. The corpse has become cold. Damíg na siá. He is cold and stiff. (see ramíg).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damig/,PinoyDictionary-Hiligaynon
damíl,"Savour, taste, relish; to relish, taste. (see lalím, dímdim).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damil/,PinoyDictionary-Hiligaynon
damílhay,"To be preoccupied, engrossed so as to neglect one's personal appearance, have no time to attend to dress or convention on account of overwork, etc. Nagadamílhay gid lang siá. He is so engrossed that he pays no attention to dress. He neglects his appearance, is slovenly or carelessly dressed.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/damilhay/,PinoyDictionary-Hiligaynon
