word,POS symbol,POS word,meaning,sentiment score,sentiment
bobo,VB,verb,"a materialistic person who affects an anti-materialistic persona.
2000, david brooks, bobos in paradise […] , simon & schuster, →isbn, page 207:the small things—an olive grove or a small chapel—take on greater meaning to a bobo on vacation.
2011 april 12, alex lobrano, “bobo heaven in paris”, in t magazine‎[1], retrieved 26 june 2019:peruse the paris papers these days and you'll notice an obsession with bobos: no, they're not a team of cheerleaders or a troupe of clowns, but rich, artsy types known as  bourgeois bohemians,  who are now pretty much the tip of parisian tastemakers. so when friends who were recently staying in saint germain des pres asked me where to go to people watch, i told them to head for the ninth arrondissement  citadel of bobo cool.",0.972,Positive
bodega,NN,noun,"a storehouse for maturing wine, a winery.",0.0,Neutral
bodéga,NN,noun,"warehouse, storage, cellar.",0.0,Neutral
bohawi,NN,noun,"cyclone, whirlwind",0.0,Neutral
bohok,NN,noun,hair,0.0,Neutral
bokabularyo,NN,noun,vocabulary,0.0,Neutral
bokabuláryo,NN,noun,vocabulary.,0.0,Neutral
bokbok,NN,noun,a type of boring insect,-0.318,Negative
bokbok,VB,verb,a type of boring insect,-0.318,Negative
bokhon,JJ,adjective,hairy,0.0,Neutral
boko-boko,NN,noun,ankle,0.0,Neutral
bokol,NN,noun,plural of bakál,0.0,Neutral
bola,NN,noun,a throwing weapon made of weights on the ends of a cord.,-0.296,Negative
bóla,NN,noun,"ball, round object.",0.0,Neutral
bolkan,NN,noun,volcano,0.0,Neutral
bolkán,NN,noun,volcano.,0.0,Neutral
bómba,NN,noun,"bomb, hand pump for water.",0.0,Neutral
bombéro,NN,noun,fireman.,0.0,Neutral
bombílya,NN,noun,electric bulb.,0.0,Neutral
bómbo,NN,noun,drum.,0.0,Neutral
boradór,NN,noun,eraser.,0.0,Neutral
bórda,NN,noun,"embroidery, design.",0.0,Neutral
bórda,VB,verb,to embroider.,0.0,Neutral
botélya,NN,noun,bottle.,0.0,Neutral
botíka,NN,noun,"medicine store, drug store.",0.0,Neutral
bóto,NN,noun,vote.,0.0,Neutral
bóto,VB,verb,"to vote, to cast a vote.",0.0,Neutral
botones,NN,noun,plural of botón,0.0,Neutral
buas,JJ,adjective,tomorrow,0.0,Neutral
búbu,VB,verb,"to baptize, to pour water into a container.",0.0,Neutral
bubún,NN,noun,well.,0.273,Positive
bubungán,NN,noun,roof.,0.0,Neutral
budhi,NN,noun,to betray,-0.637,Negative
budhi,VB,verb,to betray,-0.637,Negative
búdhi’,NN,noun,"conscience, inner self.",0.0,Neutral
búdhi’,VB,verb,"to betray, to be faithless, to be disloyal.",-0.735,Negative
budiong,NN,noun,trumpet; horn,0.0,Neutral
búdlay,JJ,adjective,"difficult, hard.",-0.44,Negative
búdlay,VB,verb,"to feel the difficulty, to tire.",-0.34,Negative
budyong,NN,noun,a marine gastropod of the family strombidae which lives in its own spiral shell,0.0,Neutral
bug-at,JJ,adjective,"heavy
antonym: gaan",0.0,Neutral
bug-at,NN,noun,"heavy
antonym: gaan",0.0,Neutral
bug-os,JJ,adjective,"complete, whole",0.0,Neutral
bug-os,VB,verb,"complete, whole",0.0,Neutral
bugá,VB,verb,"to belch forth, to spit out as a volcano.",0.0,Neutral
bugal,JJ,adjective,arrogant,-0.494,Negative
bugál,NN,noun,"pride, haughtiness.",0.34,Positive
bugál,VB,verb,"to be proud, to show off.",0.477,Positive
bugál,JJ,adjective,"plentiful, abundant.",0.0,Neutral
bugál,VB,verb,"to be plentiful, to progress.",0.421,Positive
bugalon,VB,verb,to be or become proud,0.477,Positive
bugas,NN,noun,"milled rice, white rice",0.0,Neutral
bugas,VB,verb,"milled rice, white rice",0.0,Neutral
bugás,NN,noun,unhusked rice grains.,0.0,Neutral
bugay,NN,noun,to give,0.0,Neutral
bugay,VB,verb,to give,0.0,Neutral
bugáy,NN,noun,"grace, bounty, blessing.",0.718,Positive
bugáy,VB,verb,"to shower with blessings, to give grace.",0.743,Positive
buggaitan,JJ,adjective,"prominent, famous, outstanding, excelling, excellent, surpassing others in skill, the best of its kind",0.969,Positive
bugkos,NN,noun,"bundle, parcel",0.0,Neutral
bugkos,VB,verb,"bundle, parcel",0.0,Neutral
búgkus,NN,noun,"bundle, string used to tie a package.",0.0,Neutral
búgkus,VB,verb,"to bundle together, to tie with a string.",0.0,Neutral
bugnaw,JJ,adjective,"cold, cool",0.318,Positive
búgnu’,VB,verb,"to greet, to speak to, to interact with.",0.318,Positive
búgras,VB,verb,"of string, to break off, to snap off.",0.0,Neutral
bugsay,NN,noun,"oar, paddle",0.0,Neutral
bugsay,VB,verb,"oar, paddle",0.0,Neutral
búgsay,NN,noun,oar.,0.0,Neutral
búgsay,VB,verb,"to row, to strike the water with an oar.",-0.128,Negative
búgsuk,VB,verb,"to erect by driving into the soil, to thrust through with force to make it stand.",0.0,Neutral
búgtaw,VB,verb,"to waken, to awake.",0.0,Neutral
bugto,VB,verb,to snap; to fracture or break apart suddenly,0.0,Neutral
búgtung,JJ,adjective,"alone, one and only.",-0.25,Negative
búgtung,NN,noun,only-child.,0.0,Neutral
búgtu’,VB,verb,"to snap, to break off.",0.0,Neutral
búg’at,JJ,adjective,"heavy, burdensome, cumbersome.",-0.421,Negative
búg’us,JJ,adjective,"entire, complete, whole-hearted.",0.0,Neutral
buhaha,JJ,adjective,"heedless, lavish, prodigal, wasteful",0.0,Neutral
buhaha,NN,noun,"heedless, lavish, prodigal, wasteful",0.0,Neutral
buhahá’,JJ,adjective,"lavish, extravagant, spend-thrift.",0.0,Neutral
buhat,JJ,adjective,"raise; lift; act of picking up something heavy
synonyms: alsa, tuon",0.0,Neutral
buhat,NN,noun,"raise; lift; act of picking up something heavy
synonyms: alsa, tuon",0.0,Neutral
buhat,VB,verb,"raise; lift; act of picking up something heavy
synonyms: alsa, tuon",0.0,Neutral
búhat,VB,verb,"to do, to make, to perform.",0.0,Neutral
buháwi’,NN,noun,tornado.,0.0,Neutral
buhi,JJ,adjective,"to live
nabuhi si hesukristo sa dominggo sa pagkabanhawjesus rose again on easter sunday",0.0,Neutral
buhin,NN,noun,subtraction,0.0,Neutral
buhin,VB,verb,subtraction,0.0,Neutral
búhin,VB,verb,"to subtract, to deduct, to decrease, to lessen.",0.0,Neutral
buhis,NN,noun,alternative form of buwis,0.0,Neutral
buhís,NN,noun,"tax, levy.",0.0,Neutral
buhís,VB,verb,to levy tax.,0.0,Neutral
buhí’,JJ,adjective,alive.,0.382,Positive
búhi’,VB,verb,"to set free, to unhand, to ignite as of fire-crackers.",0.511,Positive
buho,NN,noun,"crevice, hole, opening, perforation, pit, vent",0.0,Neutral
buho-buho,NN,noun,"diminutive of búhò: a small hole, perforation, or pore",0.0,Neutral
buhok,NN,noun,hair (on head),0.0,Neutral
buhúk,NN,noun,hair on the head.,0.0,Neutral
búhu’,NN,noun,"hole, crevice, aperture.",0.0,Neutral
búhu’,VB,verb,to bore or drill a hole.,-0.25,Negative
buk-on,VB,verb,to cut or open,-0.273,Negative
bukad,NN,noun,to expand,0.318,Positive
bukad,VB,verb,to expand,0.318,Positive
búkad,VB,verb,"to open, to unfold, to bloom, to undo a package.",0.0,Neutral
bukadkad,VB,verb,to bloom,0.0,Neutral
bukal,NN,noun,"spring (body of water)
synonym: burabod",0.0,Neutral
bukál,NN,noun,"bubble, froth.",0.0,Neutral
bukál,VB,verb,"to boil, to bubble.",0.0,Neutral
bukana,NN,noun,mouth (of a river),0.0,Neutral
bukas,JJ,adjective,plural of buka,0.0,Neutral
bukás,JJ,adjective,"opened, candid.",0.0,Neutral
bukás,VB,verb,"to open, to unfold, to begin.",0.0,Neutral
bukaw,NN,noun,"the philippine hawk-owl; a species complex of owls, in the family strigidae, endemic to the philippines",0.0,Neutral
búkaw,NN,noun,owl.,0.0,Neutral
buká’,NN,noun,"opening, crack.",0.0,Neutral
buká’,JJ,adjective,"open, cut, split, cracked.",-0.273,Negative
buká’,VB,verb,"to cut open, to crack.",-0.273,Negative
búkbuk,NN,noun,weevil.,0.0,Neutral
búkbuk,VB,verb,"to crash, to grind, to make into powder.",-0.402,Negative
bukid,NN,noun,mountain,0.0,Neutral
búkid,NN,noun,"hill, mountain.",0.0,Neutral
bukidnon,JJ,adjective,rural,0.0,Neutral
bukidnon,NN,noun,rural,0.0,Neutral
buksan,VB,verb,open,0.0,Neutral
búktut,NN,noun,hunchback.,0.0,Neutral
bukú,NN,noun,"node, joint.",0.0,Neutral
bukúbukú,NN,noun,"joint, ankle.",0.0,Neutral
búkud,JJ,adjective,"secure, strong.",0.691,Positive
bukúl,NN,noun,"lump, swelling, protuberance; of plants, bud.",0.0,Neutral
búkut,VB,verb,"to confine, to isolate, to pen or coop up.",-0.202,Negative
búku’,NN,noun,"plan, proposal, intention, proposition.",0.0,Neutral
búku’,VB,verb,"to say, to plan, to think of, to intent to.",0.0,Neutral
bulád,VB,verb,"to spread out, to dry in the sun.",0.0,Neutral
bulador,NN,noun,kite,0.0,Neutral
buladúr,NN,noun,kite.,0.0,Neutral
bulag,JJ,adjective,to separate; to cause (things or people) to be separate,0.0,Neutral
bulag,VB,verb,to separate; to cause (things or people) to be separate,0.0,Neutral
bulág,NN,noun,"blind, beggar.",-0.402,Negative
bulág,JJ,adjective,"depravity in eyesight, blind.",-0.402,Negative
búlag,VB,verb,"to divorce, to sever, to separate, to depart.",0.0,Neutral
bulahan,JJ,adjective,lucky; fortunate; blessed,0.863,Positive
buláhan,JJ,adjective,"fortunate, lucky.",0.691,Positive
bulak,NN,noun,an indian nose ring usually worn by married women.,-0.296,Negative
bulak,VB,verb,an indian nose ring usually worn by married women.,-0.296,Negative
búlak,NN,noun,"flower, blossom, cotton fibers.",0.0,Neutral
búlak,VB,verb,"to bloom, to flower.",0.0,Neutral
bulak-bulak,NN,noun,diminutive of búlak,0.0,Neutral
bulakbol,NN,noun,"truancy
synonyms: lakuwatsa, luok",0.0,Neutral
bulakbol,VB,verb,"truancy
synonyms: lakuwatsa, luok",0.0,Neutral
bulákwit,VB,verb,"to snatch, to seize.",0.0,Neutral
bulalakaw,NN,noun,"(astronomy) meteorite, shooting star",0.0,Neutral
bulan,NN,noun,moon,0.0,Neutral
búlan,NN,noun,"month, moon.",0.0,Neutral
búlanbulan,RB,adverb,"monthly, every month.",0.0,Neutral
bulang,NN,noun,"cockfight
synonyms: topada, sabong",0.0,Neutral
bulang,VB,verb,"cockfight
synonyms: topada, sabong",0.0,Neutral
búlang,VB,verb,to participate in a cockfight.,0.0,Neutral
bulangan,NN,noun,cockpit (enclosure for cockfights),0.0,Neutral
búlaw,VB,verb,"to oversleep, to wake up later than usual, to waken late in the day.",0.0,Neutral
bulawan,NN,noun,"gold (element)
synonym: oro",0.0,Neutral
buláwan,NN,noun,"gold, raw gold metal.",0.0,Neutral
bulawanon,NN,noun,"made of, or relating to, gold",0.0,Neutral
bulá’,NN,noun,"bubble, froth, foam.",0.0,Neutral
bulá’,VB,verb,"to bubble, to foam, to spume at the mouth.",0.0,Neutral
búlbug,VB,verb,"to strike repeatedly, to beat against.",-0.128,Negative
bulbul,NN,noun,"any of several passerine songbirds, of the family pycnonotidae (currently, 27 genera recognized), native to africa and eurasia.",0.0,Neutral
bulgár,JJ,adjective,"vulgar, gaudy.",0.0,Neutral
buli,NN,noun,(botany) fluttering elm (ulmus laevis),0.0,Neutral
buli,VB,verb,(botany) fluttering elm (ulmus laevis),0.0,Neutral
bulídbulíd,VB,verb,"to crumble, to roll over and over down a slope.",0.0,Neutral
bulig,NN,noun,a bunch or stem of bananas,0.0,Neutral
búlig,NN,noun,"bunch of banana fruits intact on the trunk, help;  to help, to assist, to aid.",0.735,Positive
buligan,VB,verb,third-person plural present indicative of buligar,0.0,Neutral
buling,NN,noun,"dirt, soot, stain",-0.34,Negative
buling,VB,verb,"dirt, soot, stain",-0.34,Negative
bulíng,NN,noun,soot.,0.0,Neutral
bulinga,NN,noun,the ovary; the lower part of a pistil or carpel that bears ovules and ripens into fruit,-0.296,Negative
bulí’,NN,noun,"anus, buttocks, rear.",0.0,Neutral
bulto,NN,noun,bale,0.0,Neutral
búltu,NN,noun,"bulk, big bundle.",0.0,Neutral
buluadan,NN,noun,where animals are bred,0.0,Neutral
buluhatan,NN,noun,workshop,0.0,Neutral
buluhaton,NN,noun,errand; task,0.0,Neutral
bulukutan,NN,noun,"enclosure, pen",0.0,Neutral
bululngan,NN,noun,"clinic, hospital, medical center",0.0,Neutral
bululngon,NN,noun,sick person,-0.511,Negative
bulunakan,NN,noun,"laundry, laundry room, wash",0.0,Neutral
bulung,NN,noun,"drug, medicine",0.0,Neutral
bulung,VB,verb,"drug, medicine",0.0,Neutral
bulúng,NN,noun,"medicine, drug, cure.",0.0,Neutral
bulúng,VB,verb,"to cure, to doctor.",0.0,Neutral
bulungan,NN,noun,"spindle, spinning wheel",0.0,Neutral
bulus,NN,noun,the beginning of a flood in a flooded river,0.0,Neutral
bulus,VB,verb,the beginning of a flood in a flooded river,0.0,Neutral
bulutangan,NN,noun,"holder, rack",0.0,Neutral
buluthoan,NN,noun,"place of reunion, meetinghouse",0.0,Neutral
bumulutho,NN,noun,"schoolboy, schoolgirl, student",0.0,Neutral
bun-ag,NN,noun,birth,0.0,Neutral
búnak,VB,verb,"to wet, to dampen.",0.0,Neutral
búnak,JJ,adjective,wet.,0.0,Neutral
bunál,NN,noun,"whip, lash.",0.0,Neutral
bunál,VB,verb,"to trash, to strike with a whip.",-0.128,Negative
bunang,NN,noun,"thread, yarn",0.0,Neutral
bunáyag,JJ,adjective,"cordial, gracious.",0.557,Positive
bunayag makig-atubang,JJ,adjective,genial,0.421,Positive
bunayag sing kabubut-on,JJ,adjective,cordial,0.0,Neutral
bundul,JJ,adjective,"slow, dull, deliberate in action",-0.402,Negative
búndul,JJ,adjective,"slow, tardy.",0.0,Neutral
búnga,NN,noun,"fruit, consequence, result.",0.0,Neutral
búnga,VB,verb,"to bear fruit, to result in.",0.0,Neutral
bungalon,NN,noun,the indian mangrove (avicennia officinalis),0.0,Neutral
bungansiso,NN,noun,whale,0.0,Neutral
bungát,VB,verb,"to speak out, to utter.",0.0,Neutral
bunggo,VB,verb,alternative form of bangga,0.0,Neutral
búnggu’,VB,verb,"to bump against, to push against something with force.",0.0,Neutral
bunghay,NN,noun,a party or group of people,0.402,Positive
búnghay,NN,noun,"part, division.",0.0,Neutral
búnghay,VB,verb,"to form a part of, to become divided.",0.0,Neutral
bungil,NN,noun,harelip,0.0,Neutral
búngkag,VB,verb,"to demolish, to take apart, to destroy, to dismantle.",-0.542,Negative
bungot,NN,noun,"facial hair, especially the moustache",0.0,Neutral
búngtud,NN,noun,"low elevation of the ground, an elevation lower than a hill, slope.",-0.511,Negative
bungul,JJ,adjective,stupid,-0.527,Negative
bungul,NN,noun,stupid,-0.527,Negative
bungúl,NN,noun,deaf.,0.0,Neutral
búngut,NN,noun,"beard, whiskers, moustache.",0.0,Neutral
bunit,NN,noun,"(fishing): angle, hook",0.0,Neutral
bunit,VB,verb,"(fishing): angle, hook",0.0,Neutral
bunít,NN,noun,"fish hook, angle.",0.0,Neutral
bunít,VB,verb,"to hook, to fish, to angle.",0.0,Neutral
búnlaw,VB,verb,"to rinse, to finish washing with clean water.",0.402,Positive
buntug,NN,noun,stye,0.0,Neutral
buntug,VB,verb,stye,0.0,Neutral
búntul,VB,verb,"to throw to the ground, to attack with force so as to offset the balance.",-0.477,Negative
búnuk,NN,noun,"heavy rain, downpour.",0.0,Neutral
búnuk,VB,verb,to rain heavily.,0.0,Neutral
bunút,NN,noun,"coconut husk, scrub made from coconut husk.",0.0,Neutral
bunút,VB,verb,"to remove the husk from a coconut, to scrub the floor with a coconut husk.",0.0,Neutral
bunú’,VB,verb,"to stab with a sharp instrument, to pierce.",-0.586,Negative
bunyag,NN,noun,"baptism
synonym: bawtismo",0.0,Neutral
búnyag,NN,noun,baptism.,0.0,Neutral
búnyag,VB,verb,"to sprinkle, to water plants‚ to baptize.",0.0,Neutral
bún’ag,VB,verb,to dry in the sun.,0.0,Neutral
buot,JJ,adjective,to rub,0.0,Neutral
burangos,NN,noun,beard,0.0,Neutral
burará’,JJ,adjective,"extravagant, lavish.",0.0,Neutral
búrhut,VB,verb,"to fizz out, to puff.",0.0,Neutral
burnil,VB,verb,to polish; to shine,0.0,Neutral
burus,NN,noun,toothbrush,0.0,Neutral
bus,NN,noun,"bus, public vehicle.",0.0,Neutral
bus-og,JJ,adjective,"pure, unadulterated,",0.0,Neutral
busa,JJ,adjective,"consequently; hence; as a result; therefore, for this reason; ergo",0.0,Neutral
busal,NN,noun,(maasina) thigh,0.0,Neutral
busál,NN,noun,"of dogs, mouth cover to prevent biting.",0.026,Neutral
busay,NN,noun,waterfall,0.0,Neutral
busáy,NN,noun,"waterfall, spring.",0.0,Neutral
busá’ag,VB,verb,"to scatter into different directions, to break into pieces and scatter, to burst.",0.0,Neutral
búsbus,VB,verb,"to cut open, to perform a caesarian operation.",-0.273,Negative
búsdik,VB,verb,to split or burst open.,0.0,Neutral
busgon,JJ,adjective,satiated,0.0,Neutral
busilak,NN,noun,"limestone, marble",0.0,Neutral
busisí’,JJ,adjective,"scrupulous, meticulous.",0.0,Neutral
búskad,VB,verb,"to spread open as in a flower, to unfold.",0.0,Neutral
buslot,NN,noun,a hole; an opening,0.0,Neutral
búslut,VB,verb,"to have a rent, to have a hole through the bottom.",0.0,Neutral
busol,NN,noun,"push
synonyms: tulod, tuldang, ugsod",0.0,Neutral
busong,JJ,adjective,"pregnant
synonym: mabdos",0.0,Neutral
busug,JJ,adjective,"satiated, satisfied",0.421,Positive
busúg,JJ,adjective,"satiated, full, satisfied with food.",0.421,Positive
búsul,NN,noun,seed.,0.0,Neutral
busún,NN,noun,mailbox.,0.0,Neutral
busung,JJ,adjective,alternative spelling of busong (“pregnant”),0.0,Neutral
busúng,JJ,adjective,"pregnant, with child.",0.0,Neutral
busúng,VB,verb,to be pregnant.,0.0,Neutral
búswang,VB,verb,to break or burst and discharge pus.,0.0,Neutral
bús’ak,VB,verb,"to chop wood, to chop wood for firewood.",0.0,Neutral
buta,JJ,adjective,alternative form of boteh.,0.0,Neutral
buta,NN,noun,alternative form of boteh.,0.0,Neutral
buta,VB,verb,alternative form of boteh.,0.0,Neutral
butad,JJ,adjective,to pull,0.0,Neutral
butakal,NN,noun,"a male pig; a boar kept for breeding purposes
antonym: dulag",0.0,Neutral
butang,NN,noun,"that which is considered to exist as a separate entity, object, quality or concept",0.0,Neutral
butáng,NN,noun,"thing, object.",0.0,Neutral
butáng,VB,verb,"to put down, to lay on a place.",0.0,Neutral
butang-butang,NN,noun,"calumny, libel, or slander",0.0,Neutral
butángbútang,NN,noun,"rumor, false accusation.",-0.25,Negative
butángbútang,VB,verb,"to slander, to backbite, to spread false rumors.",0.0,Neutral
butho,VB,verb,to arrive suddenly and unannounced; to plump in,0.0,Neutral
búthu’,VB,verb,"to go to school, to study, to learn.",0.0,Neutral
buti,NN,noun,"barrel, cask",0.0,Neutral
buti,VB,verb,"barrel, cask",0.0,Neutral
butí,NN,noun,small pox.,0.0,Neutral
butig,NN,noun,wart,0.0,Neutral
butíg,NN,noun,"lie, falsehood.",0.0,Neutral
butíg,JJ,adjective,"liar, sly.",-0.511,Negative
butíg,VB,verb,"to tell a lie, to make a false statement.",0.0,Neutral
butigon,NN,noun,"misleading, sly",-0.402,Negative
butiti,NN,noun,pufferfish,0.0,Neutral
butí’,VB,verb,to pop like a corn or rice.,0.361,Positive
butkon,NN,noun,"(anatomy) arm
synonym: braso",0.0,Neutral
bútkun,NN,noun,arm.,0.0,Neutral
bútlak,VB,verb,"of the sun, to rise.",0.0,Neutral
buto,NN,noun,"(anatomy) penis
synonyms: pikoy, pisot",0.0,Neutral
butok,VB,verb,to make or force an animal to lie down on its side,0.0,Neutral
butok-butok,JJ,adjective,diligent,0.0,Neutral
butok-butok,VB,verb,diligent,0.0,Neutral
butónes,NN,noun,button.,0.0,Neutral
butúd,JJ,adjective,"bloated, distended.",0.0,Neutral
butúd,VB,verb,"to become bloated, to suffer from the wind.",-0.542,Negative
bútung,VB,verb,"to pull, to drag.",-0.226,Negative
butwas,NN,noun,raise something to the surface,0.0,Neutral
bútyag,VB,verb,"to tell others, to disclose, to let out a secret.",0.0,Neutral
buung,JJ,adjective,"broken, smashed",-0.477,Negative
buung,VB,verb,"broken, smashed",-0.477,Negative
buy-an,VB,verb,"escape, to let to get away",0.178,Positive
búya,NN,noun,"bribe, fix.",-0.202,Negative
búya,VB,verb,"to bribe, to buy like a person in marriage, to offer a dowry.",0.178,Positive
buyagyag,VB,verb,"betray, expose, make public, tell",-0.7,Negative
buyánbuyań,JJ,adjective,"ne’er do well, neglectful.",-0.226,Negative
buyánbuyań,VB,verb,"to neglect, to be nonchalant, to be unconcerned.",-0.599,Negative
buyáyag,VB,verb,"to show up, to expose, to disclose a confidential matter.",-0.128,Negative
buyayaw,VB,verb,to curse; to swear,-0.572,Negative
buyáyaw,VB,verb,"to abuse in strong language, to curse, to scold, to use swear words.",-0.807,Negative
buylog,VB,verb,accompany,0.0,Neutral
búylug,VB,verb,"to accompany, to join, to group together.",0.296,Positive
buyog,NN,noun,a bumblebee,0.0,Neutral
buyot,VB,verb,a woven bag,0.0,Neutral
buyug,NN,noun,wasp,0.0,Neutral
buyúg,NN,noun,bumblebee.,0.0,Neutral
búyuk,VB,verb,"to bend, to curve, to incline, to persuade.",0.0,Neutral
búyut,VB,verb,"to grasp firmly, to hold onto.",0.0,Neutral
bú’ang,JJ,adjective,"fool, stupid, crazy.",-0.827,Negative
bú’ang,NN,noun,"fool, simpleton, idiot.",-0.735,Negative
bu’áya,NN,noun,"alligator, crocodile.",0.0,Neutral
bu’úl,NN,noun,heel.,0.0,Neutral
bú’ung,VB,verb,"to break into small pieces, to scatter into fragments.",0.0,Neutral
bu’út,NN,noun,"will, wants, desire, wish.",0.66,Positive
bu’út,VB,verb,"to will, to desire, to wish, to do as one pleases.",0.796,Positive
bú’ut,JJ,adjective,"kind, amiable, considerate.",0.743,Positive
bwás,RB,adverb,"tomorrow, next day.",0.0,Neutral
bwélta,VB,verb,"to return, to come back, to retrace steps.",0.0,Neutral
byáhe,NN,noun,"trip, journey, voyage.",0.0,Neutral
byérnes,NN,noun,friday.,0.0,Neutral
byólin,NN,noun,violin.,0.0,Neutral
daan,JJ,adjective,"(now rare) old (already used)
synonyms: luma, antigo
antonym: bago",0.0,Neutral
daan,JJ,adjective,"(now rare) old (already used)
synonyms: luma, antigo
antonym: bago",0.0,Neutral
daay,NN,noun,a lump of earth,0.0,Neutral
dab-ot,VB,verb,to reach out,0.026,Neutral
dabadaba,VB,verb,kindling,0.0,Neutral
dabádabá,NN,noun,"blaze, flame.",0.0,Neutral
dabádabá,VB,verb,"to flare up, to blaze, to be on fire.",-0.34,Negative
dabdab,VB,verb,"kindle, light",0.0,Neutral
dábdab,NN,noun,"flare, flame, blaze.",0.0,Neutral
dábdab,VB,verb,"to flare up, to blaze, to be on fire.",-0.34,Negative
dabudabu,NN,noun,shower,0.0,Neutral
dabúdabú,NN,noun,"shower, drizzle.",0.0,Neutral
dábuk,VB,verb,"to kindle a fire, to build a fire, to ignite.",-0.586,Negative
dado,NN,noun,(architecture) the section of a pedestal above the base.,0.0,Neutral
dag-on,NN,noun,year,0.0,Neutral
dag-on,VB,verb,year,0.0,Neutral
daga,NN,noun,dagger,0.0,Neutral
dagaang,JJ,adjective,"red, scarlet",0.0,Neutral
dagami,NN,noun,straw,0.0,Neutral
dagámi,NN,noun,"hay, straw.",0.0,Neutral
dagangbulan,NN,noun,march,0.0,Neutral
dagangdang,JJ,adjective,"red, scarlet",0.0,Neutral
dagas,NN,noun,"lunge
synonym: dagsang",0.0,Neutral
dagas,VB,verb,"lunge
synonym: dagsang",0.0,Neutral
dagat,NN,noun,sea,0.0,Neutral
dagat,VB,verb,sea,0.0,Neutral
dagát,NN,noun,"seasickness, nausea.",0.0,Neutral
dagát,VB,verb,"to be seasick, to be nauseated.",0.0,Neutral
dágat,NN,noun,"sea, ocean.",0.0,Neutral
dágat,DT,deictic,,0.0,Neutral
dagaya,NN,noun,abundance,0.0,Neutral
dagáya’,JJ,adjective,"many, plentiful, teeming, swarming.",0.0,Neutral
dágdag,NN,noun,"addition, native term for extra pieces given of items purchased.",0.0,Neutral
dágdag,VB,verb,"to let fall, to drop, to add something extra to a purchase.",-0.273,Negative
daginit,JJ,adjective,"(of wind) gentle, soft, mild, tender, warm",0.586,Positive
dagotdot,NN,noun,debris or refuse on a beach,-0.296,Negative
dagpi’,NN,noun,"rap, tap, pat.",0.0,Neutral
dagpi’,VB,verb,"to rap, to tap, to pat.",0.0,Neutral
dagsang,VB,verb,"lunge
synonym: dagas",0.0,Neutral
dagsa’,VB,verb,"to transfer, to be washed ashore, to flow with the current.",0.0,Neutral
dagta,NN,noun,alternative form of digta (“stain”),0.0,Neutral
dágta’,NN,noun,"sap, stain, sticky sap of plants, mark.",0.0,Neutral
dágta’,VB,verb,"to stain, to blot, to mar.",0.0,Neutral
dagum,NN,noun,"sewing needle, injection needle.",0.0,Neutral
dagum,NN,noun,sewing needle,0.0,Neutral
dagumak,VB,verb,to wear out from frequent use,0.0,Neutral
daguob,NN,noun,thunder,0.0,Neutral
dagusu’,VB,verb,"to swarm, to move in a crowd.",0.0,Neutral
dagutdut,NN,noun,alternative spelling of dagótdot,0.0,Neutral
dagu’ub,NN,noun,thunder.,0.0,Neutral
dagu’ub,VB,verb,to thunder.,0.0,Neutral
dagway,NN,noun,"face
synonym: nawong",0.0,Neutral
dágway,NN,noun,"facial expression, shape, posture.",0.0,Neutral
dagway nga makahuhuya,JJ,adjective,shabby,0.0,Neutral
dagyang,VB,verb,"enjoy oneself, frolic",0.494,Positive
dahog,NN,noun,"shoot, tendril",-0.34,Negative
dahog,VB,verb,"shoot, tendril",-0.34,Negative
dahon,NN,noun,leaf,0.0,Neutral
dahon-dahon,NN,noun,"mantis, praying mantis",0.361,Positive
dahúm,NN,noun,"expectations, anticipation.",0.103,Positive
dahúm,VB,verb,walá’ akú nagdahúm nga ma’abút ka.,0.0,Neutral
dáhun,NN,noun,leaf.,0.0,Neutral
dahú’,VB,verb,"to receive, to accept, to take form.",0.382,Positive
dakbanwa,NN,noun,"city
synonym: siyudad",0.0,Neutral
dakbánwa,NN,noun,city.,0.0,Neutral
dakhari,NN,noun,"emperor
synonym: emperador
coordinate term: dakhara",0.0,Neutral
dakpulu,NN,noun,"continent
synonym: kontinente",0.0,Neutral
daku,JJ,adjective,(anatomy) back,0.0,Neutral
daku,NN,noun,(anatomy) back,0.0,Neutral
daku kaayo,JJ,adjective,very big,0.0,Neutral
daku-daku,JJ,adjective,diminutive of daku,0.0,Neutral
dakup,VB,verb,"to catch, to apprehend, to arrest, to capture",-0.34,Negative
dakúp,VB,verb,"to catch, to trap, to snare, to capture, to arrest.",-0.572,Negative
dakú’,JJ,adjective,"big, bulky, huge, great.",0.751,Positive
dakú’,VB,verb,"to become big, to make big.",0.0,Neutral
dal-ok,NN,noun,"blister, pustule",0.0,Neutral
dala,VB,verb,"(historical) the currency of hawaii between 1847 and 1898, equal to the united states dollar.
2018, todd a. watkins, introduction to microfinance:my mother kept a dollar bill in hawaiian currency—a dala—given to her as a souvenir of her brother's service in the army.",0.421,Positive
dalá,VB,verb,"to bring, to carry, to transmit.",0.0,Neutral
dalá,NN,noun,"packages, things being carried, load.",0.0,Neutral
dalag,JJ,adjective,mudfish,0.0,Neutral
dalág,JJ,adjective,yellow.,0.0,Neutral
dalaga,NN,noun,(philippines) a young woman who has passed puberty but is not yet married; an eligible young woman.,0.0,Neutral
dalága,NN,noun,"unmarried girl, between the age of about fifteen to thirty.",0.0,Neutral
