word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20,MODE,Comparison
habon,NN,noun,soap,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
hádluk,NN,noun,"fear, apprehension.",-0.743,Negative,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
haǵdan,NN,noun,"stairs, ladder.",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
hagumhum,VB,verb,to rumble or boom,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
hámpang,NN,noun,"game, play, stake.",0.34,Positive,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,TRUE
hangánhangán,RB,adverb,"easily, lazily, taking it easy.",0.649,Positive,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,FALSE
hanginero,NN,noun,windbag ; braggart synonym: hanginon,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,TRUE
harásharás,JJ,adjective,"harsh in manner, lacking in social refinement.",-0.44,Negative,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,TRUE
háyhay,VB,verb,"to sigh, to moan, to utter a plaint or wail.",-0.128,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
hílway,JJ,adjective,"free, independent, safe.",0.735,Positive,1,1,1,1,-1,0,1,-1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,TRUE
hímus,VB,verb,"to arrange, to put away in an orderly manner.",0,Neutral,0,1,1,1,1,0,-1,-1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,FALSE
hináblus,NN,noun,"niece, nephew.",0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
hinákay,VB,verb,"to hire, to pay for rent.",-0.103,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,TRUE
hingukú,VB,verb,"to cut the nails, to trim and clean the fingernails.",0.153,Positive,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,TRUE
hínhin,JJ,adjective,"graceful, demure, dainty.",0.459,Positive,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,TRUE
hinúlsul,NN,noun,"repentance, regret, remorse.",-0.599,Negative,-1,-1,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,TRUE
hípid,JJ,adjective,"neat, orderly, dressy.",0.459,Positive,1,1,1,1,-1,-1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,TRUE
híwat,VB,verb,"to celebrate, to hold a feast.",0.572,Positive,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,TRUE
hubúg,VB,verb,"to become drunk, to drink to excess.",-0.34,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
humbak,NN,noun,( ocean ) wave,0,Neutral,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,TRUE
hungúd,VB,verb,"to do intentionally, to act voluntarily.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,TRUE
húrma,VB,verb,"to mold, to fit into a cast.",0.361,Positive,1,1,-1,-1,0,0,-1,0,-1,-1,-1,1,-1,1,1,0,-1,-1,0,1,1,-1,FALSE
hutík,VB,verb,to speak in a whisper.,0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,TRUE
huyuhoy,NN,noun,breeze synonym: harupot,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
ibán,NN,noun,"other, some other.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,TRUE
íhaw,VB,verb,"to broil, to roast over live coal.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,TRUE
ilá,JJ,adjective,"elusive, untamed, undomesticated.",0,Neutral,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
ilisan,NN,noun,dressing room where someone changes clothing,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
ilúy,NN,noun,mother.,0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,TRUE
íswag,VB,verb,"to move over, to extend, to move away, to make room.",0.178,Positive,1,1,0,0,0,0,-1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,FALSE
íwat,JJ,adjective,"grave, seriously ill.",-0.727,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
kaagahon,NN,noun,dawn,0,Neutral,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,-1,0,0,0,TRUE
kabáy,VB,verb,"to wish for, to desire, to request.",0.66,Positive,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabeséra,NN,noun,"head of the table, chairman, leader.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
kabúg,NN,noun,bat.,0,Neutral,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,TRUE
kadumut,NN,noun,alternative spelling of kadumot,0,Neutral,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
kagulángan,NN,noun,"forest, uncleared land.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,TRUE
kahikaw,NN,noun,"envy , spite",-0.67,Negative,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,TRUE
kalaglagan,NN,noun,"destruction , perdition , ruin",-0.818,Negative,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,TRUE
kamánsi,NN,noun,breadfruit.,0,Neutral,0,0,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,TRUE
kamatuoran,NN,noun,truth ; veracity,0.318,Positive,1,1,1,1,1,0,1,-1,1,1,0,1,1,-1,-1,1,1,-1,0,1,1,1,TRUE
kamí,PRP,pronoun,we (exclusive first person plural nominal pronoun).,0.128,Positive,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,0,1,0,1,1,-1,1,TRUE
kampánya,NN,noun,campaign.,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,TRUE
kánta,VB,verb,"to sing, to chant, to warble.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
kapaul,NN,noun,"fatigue , weariness",-0.25,Negative,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
karnéro,NN,noun,sheep.,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,TRUE
kawing,VB,verb,to copulate,0,Neutral,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,TRUE
káw’it,NN,noun,hook.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
kayába,VB,verb,to hurry up.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,TRUE
ka’ína,RB,adverb,"earlier, a while ago.",0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,TRUE
kilométro,NN,noun,"kilometer, unit of distance measure which is equal to approximately 0.62 miles.",0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,TRUE
kolíntas,NN,noun,necklace.,0,Neutral,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,TRUE
komersyánte,NN,noun,small-time businessman who peddles his wares moving from one town to another during market days.,0,Neutral,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,TRUE
kompanyero,NN,noun,"companion , partner , friend",0.494,Positive,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,TRUE
kúdlit,VB,verb,"to line, to mark, to draw with a pencil.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
kugá’,VB,verb,"to throttle, to strangle, to choke.",-0.542,Negative,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,TRUE
kulantro,NN,noun,coriander,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,TRUE
kúlba’,VB,verb,"to be nervous, to be afraid.",-0.273,Negative,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,TRUE
kulúb,JJ,adjective,"inverted, upset, turned over.",-0.382,Negative,-1,0,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
kunúl,VB,verb,"to cease, to stop flowing, to run dry as a river.",-0.296,Negative,-1,0,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
kusinéro,NN,noun,cook.,0,Neutral,0,0,0,0,-1,1,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,TRUE
kúskus,VB,verb,to scrape with a sharp instrument or with a scraper.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
kutsára,NN,noun,tablespoon.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,TRUE
kutúl,VB,verb,"to pick, to pluck from a plant, to gather flowers.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,TRUE
labábu,NN,noun,"lavabo, washbasin.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,TRUE
lábut,NN,noun,"business, concern.",0,Neutral,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,TRUE
lagari,NN,noun,saw ( tool ),0,Neutral,0,0,0,0,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
lala,VB,verb,( music ) to sing a lullaby,0,Neutral,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,1,0,TRUE
lalím,NN,noun,flavor.,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,TRUE
lampú’as,VB,verb,"to pass, to reach beyond and move on.",0.026,Neutral,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
langoy,NN,noun,swim synonym: dangaw,0,Neutral,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,TRUE
lanog,JJ,adjective,bruised,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,TRUE
láwas,NN,noun,"body, human body.;  representative.",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
láwig,JJ,adjective,"lengthy, wide, broad, extensive.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,TRUE
lá’ut,JJ,adjective,"vile, bad, malicious, wicked.",-0.9,Negative,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,TRUE
leksyón,NN,noun,lesson.,0,Neutral,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,TRUE
límug,VB,verb,to gargle.,0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,TRUE
lípas,VB,verb,to pass by as of time.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
litík,VB,verb,"to crack, to split, to have a flaw.",0,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
lubúg,JJ,adjective,"murky, turbid.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,1,0,TRUE
lulú’,JJ,adjective,"gentle, kind, meek, tender.",0.743,Positive,1,1,1,1,-1,0,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
lúmpat,VB,verb,"to jump, to leap, to dive down.",0,Neutral,0,0,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,0,0,TRUE
lunang,NN,noun,mud,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,TRUE
lupád,VB,verb,"to fly, to soar in the air.",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
lútus,VB,verb,"to surpass, to outdo, to run after, to defeat.",-0.459,Negative,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
luwág,NN,noun,"ladle, a native deep-bowled spoon used in cooking made from hard skin of the coconut and long bamboo handle.",-0.103,Negative,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
luy-a,NN,noun,ginger ( zingiber officinale ),0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,TRUE
maambong,JJ,adjective,"gorgeous , lovely",0.832,Positive,1,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,TRUE
maanghit,JJ,adjective,smelling like a goat,0.361,Positive,1,1,1,1,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,TRUE
maayo-ayo,JJ,adjective,"beautiful , seemly , pretty",0.796,Positive,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,TRUE
mabangis,JJ,adjective,violent synonym: makahas,-0.599,Negative,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,TRUE
madanlog,JJ,adjective,"elusive , or slippery",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,TRUE
magbulig,VB,verb,"to aid , to help",0.402,Positive,1,1,1,1,0,0,-1,1,1,1,0,1,1,1,1,0,1,-1,1,1,1,1,TRUE
mahál,JJ,adjective,"expensive, dear, cherished.",0.71,Positive,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,TRUE
manay,NN,noun,( familiar ) eldest sister,0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
mánghud,NN,noun,"younger sibling, term used for people younger in age than the speaker.",0,Neutral,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,TRUE
mangungúma,NN,noun,farmer.,0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,TRUE
martílyu,NN,noun,hammer.,0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,TRUE
milyún,CD,numeral,million.,0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,TRUE
mína,NN,noun,"mineral mine, land mine.",0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
mumho,NN,noun,fallen crumbs of cooked rice on the floor or table,-0.361,Negative,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,1,1,-1,0,-1,-1,0,0,FALSE
munisípyo,NN,noun,"municipal town hall, municipal office building.",0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
musika,NN,noun,music synonym: lanton,0,Neutral,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,-1,0,0,1,-1,0,TRUE
nag’ulí’,NN,noun formative,silá.,0,Neutral,0,0,0,0,0,0,0,1,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,TRUE
nánday,RP,particle,post-position personal name marker.,0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,TRUE
negrense,NN,noun,native or resident of negros,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
ngáwa,VB,verb,"to be surprised, to shrink from, to be afraid of.",0.226,Positive,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,TRUE
ngípun,NN,noun,tooth.,0,Neutral,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,TRUE
ngútngut,VB,verb,"to be painful, to feel a sharp pain, to ache.",-0.832,Negative,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,TRUE
nínyu,PRP,pronoun,your (second person plural post-position source pronoun).,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE
níwang,VB,verb,"to reduce in weight, to become thinner.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
nónong,NN,noun,"endearment term for young boys, especially the second oldest in the family.",0,Neutral,0,0,0,0,1,0,0,0,-1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,TRUE
paabat,VB,verb,causative of ábat,0,Neutral,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,TRUE
pabrika,NN,noun,"factory , mill",0,Neutral,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
padalá,VB,verb,to send.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
pahítu’,VB,verb,"to do, to find a way, to scheme, to process.",0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
páklang,NN,noun,"stem, branch.",0,Neutral,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,-1,0,0,0,0,0,TRUE
palasárun,NN,noun,"project, plan.",0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,TRUE
pangabúhi’,NN,noun,"life, way of life.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,TRUE
papél,NN,noun,paper.,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
pasáhe,NN,noun,"passage, trip.;  passenger.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,TRUE
páslaw,VB,verb,"to be caught red-handed, to fail, to lose.",-0.735,Negative,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
pastór,NN,noun,"shepherd, parish priest.",0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,TRUE
patalum,VB,verb,to sharpen or hone a blade,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,TRUE
patúnda’,NN,noun,warning.,-0.34,Negative,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,TRUE
pihák,NN,noun,"other side, reverse, pair, half.",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,TRUE
pilak,VB,verb,to throw,0,Neutral,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,TRUE
pilósopo,NN,noun,"philosopher, smark aleck.",0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,TRUE
pilú’,VB,verb,"to fold over, to make a fold.",0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,-1,-1,1,0,0,0,TRUE
pínya,NN,noun,pineapple.,0,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
pisúk,NN,noun,moment.,0,Neutral,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,TRUE
planéta,NN,noun,planet.,0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
plántsa,VB,verb,to iron with a dry iron.,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,TRUE
prémyo,NN,noun,"prize, reward.",0.791,Positive,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
préno,VB,verb,"to put on the brakes, to stop.",-0.296,Negative,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
probínsya,NN,noun,"province, state, political division.",0,Neutral,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
probléma,NN,noun,problem.,-0.402,Negative,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,-1,-1,-1,TRUE
púksi’,VB,verb,"to pick flowers, to tear off.",0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,TRUE
pulá,JJ,adjective,"red, crimson.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,TRUE
puláw,VB,verb,"to stay awake so as to watch, to have a late night.",0,Neutral,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,1,-1,0,-1,-1,-1,0,0,-1,-1,FALSE
púnung,NN,noun,fishpond.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,TRUE
punú’,JJ,adjective,full to capacity.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
púnu’,NN,noun,"tree trunk, leader, chief.",0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
púsad,VB,verb,"to pace up and down angrily, to stamp the feet in anger.",-0.758,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,TRUE
puyú’,VB,verb,"to live, to dwell, to reside.",0.128,Positive,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,TRUE
pwertáhan,NN,noun,door.,0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,TRUE
pyáno,NN,noun,piano.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
pyánsa,VB,verb,"to set bail, to bail out, to put a bond.",0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,TRUE
pyésas,NN,noun,spare parts.,0,Neutral,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
ra-ing,JJ,adjective,"dirty , grimy , soiled . sullied",-0.691,Negative,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
rántsu,NN,noun,ranch.,0,Neutral,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
ráyna,NN,noun,"queen, empress.",0,Neutral,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,TRUE
representánte,NN,noun,"representative, congressman.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,TRUE
ritásu,NN,noun,remnant.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,TRUE
sabak,VB,verb,to sit on one's lap,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,TRUE
sagad,NN,noun,specialist,0,Neutral,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,TRUE
ságing,NN,noun,banana.,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,TRUE
ság’a,VB,verb,"to throw out water, to drain.",0,Neutral,0,0,0,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,TRUE
salug,NN,noun,floor,0,Neutral,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,TRUE
samád,VB,verb,"to wound, to injure, to destroy.",-0.542,Negative,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,TRUE
sánag,JJ,adjective,"bright, shiny.",0.44,Positive,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,0,1,TRUE
sándad,VB,verb,"to knock over and fall, to stumble.",0,Neutral,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,TRUE
sangá,NN,noun,"branch, bough, twig.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
sántus,NN,noun,saint.,0,Neutral,0,0,0,1,0,1,1,1,-1,0,1,1,1,1,0,0,1,0,1,0,1,1,FALSE
