Word,Part of speech,affixation,meaning,example,English example,source
suyak,noun,,slashed tire,,,https://en.wiktionary.org/wiki/suyak
taas,noun,,plural of taa,,,https://en.wiktionary.org/wiki/taas
tagiposoon,noun,,"heart
Synonym: kasingkasing",,,https://en.wiktionary.org/wiki/tagiposoon
tagipusoon,noun,,alternative form of tagiposoon,,,https://en.wiktionary.org/wiki/tagipusoon
tagipusuon,noun,,(anatomy) heart,,,https://en.wiktionary.org/wiki/tagipusuon
tagna,noun,,guess; predict,,,https://en.wiktionary.org/wiki/tagna
tahum,noun,,"beauty, prettiness, attractiveness",,,https://en.wiktionary.org/wiki/tahum
takuri,noun,,kettle; teapot,,,https://en.wiktionary.org/wiki/takuri
talong,noun,,"eggplant, aubergine",,,https://en.wiktionary.org/wiki/talong
tampis,noun,,"apron, skirt",,,https://en.wiktionary.org/wiki/tampis
tampok,noun,,elite,,,https://en.wiktionary.org/wiki/tampok
tampulanga,noun,,(botany) hibiscus,,,https://en.wiktionary.org/wiki/tampulanga
tandaan,noun,,"sign, signal",,,https://en.wiktionary.org/wiki/tandaan
tanhaga,noun,,"extraordinary, marvelous, wonderful",,,https://en.wiktionary.org/wiki/tanhaga
tanga,noun,,"(historical) Any of various former Asian coins, including: a coin of Portuguese India worth one tenth of a rupee; a gold coin of India issued by various Muslim rulers; a silver coin of India, also issued by Muslim rulers; and a former silver coin of Tibet.
1810, Richard Haklvyt, Hakluyt's Collection of the Early Voyages, Travels, and DIscoveries of the English Nation- Volume 2, page 410:The larines are woorth by just value basaruchies 93 and 3 fourth parts, and 4 larines make a seraphine of siluer, which is 5 tangas of good money, and these also haue serafagion of 6, 7, 8, 10, vntil 16, by the 100, for when the ships depart for the North, to say, for Chaul, Diu, Cambaia, or Bassaim, all cary of the same, because it is money more currant then any other.
1841, The Literary Gazette and Journal of the Belles Lettres, page 136:The first and largest item is, the purchase of a wife, 25 rupees. Culinary and other utensils.--Bedding, 6 rupees; antimony for the lady's eyes, 3 tangas : an iron boiler, 2 rupees; a wooden bowl and spoons, 3 tangas; ....
1875, Report of a Mission to Yarkund in 1873, under command of Sir T[homas] D. Forsyth, page 73:The prices range from 120 tangas = Rupees 25 to 400 tangas = Rupees 80.
1996, Jonathan L. Lee, The ""Ancient Supremacy"":, →ISBN:Three-sevenths, or 300,000 tangas (100,000 Kabul rupees) were remitted to the Amir as tribute, whilst the remaining sum, 400,000 tangas (Rs. 133,333), was retained by the wali for his own expenses.
2003, Ahmad Hasan Dani, Vadim Mikhaĭlovich Masson, History of Civilizations of Central Asia, →ISBN:The Samarkand tangas were initially 916 carats, and then rose to 960 carats. Lower-carat tangas were issued in Balkh (875 carats, 916 carats) and in Tashkent. Nevertheless, even the tangas issued under Iskandar Khan are referred to in documentary sources as 'pure'.",,,https://en.wiktionary.org/wiki/tanga
tangis,noun,,plural of tangi,,,https://en.wiktionary.org/wiki/tangis
tangkugo,noun,,(anatomy) nape,,,https://en.wiktionary.org/wiki/tangkugo
tao,noun,,(international standards) ISO 639-3 language code for Yami.,,,https://en.wiktionary.org/wiki/tao
tawo,noun,,man; person; human being,,,https://en.wiktionary.org/wiki/tawo
taya,noun,,"bet; wager
Synonyms: pusta, usod",,,https://en.wiktionary.org/wiki/taya
tayobong,noun,,starch,,,https://en.wiktionary.org/wiki/tayobong
telepono,noun,,telephone,,,https://en.wiktionary.org/wiki/telepono
teolohia,noun,,theology,,,https://en.wiktionary.org/wiki/teolohia
tesorero,noun,,treasurer,,,https://en.wiktionary.org/wiki/tesorero
tibakla,noun,,grasshopper,,,https://en.wiktionary.org/wiki/tibakla
tigilinit,noun,,summer,,,https://en.wiktionary.org/wiki/tigilinit
tiil,noun,,"a foot, in its senses as
(anatomy) a human foot
(zoology) any equivalent body part of an animal",,,https://en.wiktionary.org/wiki/tiil
tiilan,noun,,the lower part of,,,https://en.wiktionary.org/wiki/tiilan
tiki,noun,,"Carved talisman in humanoid form, common to the cultures of the Pacific Ocean.",,,https://en.wiktionary.org/wiki/tiki
tikling,noun,,a rail; any member of the family Rallidae,,,https://en.wiktionary.org/wiki/tikling
tikoy,noun,,nian gao (a Chinese New Year cake made of glutinous rice flour),,,https://en.wiktionary.org/wiki/tikoy
tililawan,noun,,"test, trial",,,https://en.wiktionary.org/wiki/tililawan
timaan,noun,,symbol,,,https://en.wiktionary.org/wiki/timaan
timawa,noun,,impoverished,,,https://en.wiktionary.org/wiki/timawa
timbangan,noun,,"scale (device used to measure mass or weight)
Synonyms: pesaran, baskula",,,https://en.wiktionary.org/wiki/timbangan
tindak,noun,,"kick
Synonym: sipa",,,https://en.wiktionary.org/wiki/tindak
tingulan,noun,,"rainy season; wet season; monsoon season
Synonym: dagna",,,https://en.wiktionary.org/wiki/tingulan
tiyan,noun,,"(anatomy) belly, abdomen",,,https://en.wiktionary.org/wiki/tiyan
toktok,noun,,to knock,,,https://en.wiktionary.org/wiki/toktok
tornilyo,noun,,"screw, bolt
Synonym: tuwerka",,,https://en.wiktionary.org/wiki/tornilyo
toro,noun,,A traditional Japanese lantern.,,,https://en.wiktionary.org/wiki/toro
tubig,noun,,water,,,https://en.wiktionary.org/wiki/tubig
tudlo,noun,,(anatomy) finger,,,https://en.wiktionary.org/wiki/tudlo
tudlo sang dalaga,noun,,a type of banana,,,https://en.wiktionary.org/wiki/tudlo_sang_dalaga
tuhod,noun,,(anatomy) knee,,,https://en.wiktionary.org/wiki/tuhod
tuig,noun,,year,,,https://en.wiktionary.org/wiki/tuig
tuko,noun,,gecko,,,https://en.wiktionary.org/wiki/tuko
tul-an,noun,,bone,,,https://en.wiktionary.org/wiki/tul-an
tulug,noun,,to sleep,,,https://en.wiktionary.org/wiki/tulug
tunok,noun,,(botany) thorn,,,https://en.wiktionary.org/wiki/tunok
ugangan,noun,,parent-in-law,,,https://en.wiktionary.org/wiki/ugangan
ugtu,noun,,noon,,,https://en.wiktionary.org/wiki/ugtu
uhaw,noun,,"thirsty
Coordinate term: gutom",,,https://en.wiktionary.org/wiki/uhaw
ulan,noun,,Alternative form of uhlan.,,,https://en.wiktionary.org/wiki/ulan
ulo,noun,,(anatomy) head,,,https://en.wiktionary.org/wiki/ulo
ulod,noun,,"worm
Synonym: halod",,,https://en.wiktionary.org/wiki/ulod
unsa,noun,,"(interrogative) what
Nag-unsa ka? ― What are you doing?
Unsa ang imong kinahanglan? ― What do you need?",,,https://en.wiktionary.org/wiki/unsa
upod,noun,,"too, also, as well as
Synonyms: pud, usab, sab, sad",,,https://en.wiktionary.org/wiki/upod
urang,noun,,rain,,,https://en.wiktionary.org/wiki/urang
urok,noun,,"dimple
Synonyms: pilok, lusot",,,https://en.wiktionary.org/wiki/urok
usa,noun,,(international standards) ISO 639-3 language code for Usarufa.,,,https://en.wiktionary.org/wiki/usa
utak,noun,,"(anatomy) brain
Synonym: hutok",,,https://en.wiktionary.org/wiki/utak
utang,noun,,debt,,,https://en.wiktionary.org/wiki/utang
utod,noun,,to cut,,,https://en.wiktionary.org/wiki/utod
utok,noun,,brain,,,https://en.wiktionary.org/wiki/utok
utud,noun,,something cut off or broken off,,,https://en.wiktionary.org/wiki/utud
uyang,noun,,grandmother,,,https://en.wiktionary.org/wiki/uyang
wala,noun,,Alternative spelling of wallah.,,,https://en.wiktionary.org/wiki/wala
wasay,noun,,an axe,,,https://en.wiktionary.org/wiki/wasay
wayang,noun,,"Traditional Indonesian arts performance (shadow puppetry, theatrical, dance, etc.) originating from Java island.",,,https://en.wiktionary.org/wiki/wayang
yahong,noun,,a soup bowl,,,https://en.wiktionary.org/wiki/yahong
yawa,noun,,"(theology) devil
Synonym: diyablo",,,https://en.wiktionary.org/wiki/yawa
anum,noun,,(Twi) five,,,https://en.wiktionary.org/wiki/anum
apat,noun,,"four
Synonym: kuwatro",,,https://en.wiktionary.org/wiki/apat
duha,noun,,"two
Synonym: dos",,,https://en.wiktionary.org/wiki/duha
gatus,noun,,hundred,,,https://en.wiktionary.org/wiki/gatus
isa,noun,,(international standards) ISO 639-3 language code for Isabi.,,,https://en.wiktionary.org/wiki/isa
kalim-an,noun,,"fifty
Synonym: singkuwenta",,,https://en.wiktionary.org/wiki/kalim-an
kaluhaan,noun,,"twenty
Synonym: baynte",,,https://en.wiktionary.org/wiki/kaluhaan
kan-uman,noun,,"sixty
Synonym: saisenta",,,https://en.wiktionary.org/wiki/kan-uman
kap-atan,noun,,"forty
Synonym: kuwarenta",,,https://en.wiktionary.org/wiki/kap-atan
kasiyaman,noun,,"ninety
Synonym: nobenta",,,https://en.wiktionary.org/wiki/kasiyaman
libo,noun,,thousand,,,https://en.wiktionary.org/wiki/libo
lima,noun,,Alternative letter-case form of Lima of the ICAO/NATO radiotelephony alphabet.,,,https://en.wiktionary.org/wiki/lima
napulo,noun,,"ten; 10
Synonym: diyes",,,https://en.wiktionary.org/wiki/napulo
napulo'g anum,noun,,sixteen,,,https://en.wiktionary.org/wiki/napulo%27g_anum
napulo'g apat,noun,,fourteen,,,https://en.wiktionary.org/wiki/napulo%27g_apat
napulo'g duha,noun,,"Deprecated, pre-2014 spelling of napulog duha.",,,https://en.wiktionary.org/wiki/napulo%27g_duha
napulo'g isa,noun,,eleven,,,https://en.wiktionary.org/wiki/napulo%27g_isa
napulo'g lima,noun,,"Deprecated, pre-2014 spelling of napulog lima.",,,https://en.wiktionary.org/wiki/napulo%27g_lima
napulo'g pito,noun,,"Deprecated, pre-2014 spelling of napulog pito.",,,https://en.wiktionary.org/wiki/napulo%27g_pito
napulo'g siyam,noun,,"Deprecated, pre-2014 spelling of napulog siyam.",,,https://en.wiktionary.org/wiki/napulo%27g_siyam
napulo'g tatlo,noun,,thirteen,,,https://en.wiktionary.org/wiki/napulo%27g_tatlo
napulo'g walo,noun,,"Deprecated, pre-2014 spelling of napulog walo.",,,https://en.wiktionary.org/wiki/napulo%27g_walo
pito,noun,,A type of beer made from fermented millet or sorghum in parts of West Africa.,,,https://en.wiktionary.org/wiki/pito
siyam,noun,,nine,,,https://en.wiktionary.org/wiki/siyam
tatlo,noun,,three,,,https://en.wiktionary.org/wiki/tatlo
walo,noun,,eight,,,https://en.wiktionary.org/wiki/walo
balaw,noun,,shrimp (small),,,https://en.wiktionary.org/wiki/balaw
halong,phrasebook,,"to handle with care
Synonym: amlig",,,https://en.wiktionary.org/wiki/halong
maayong gab-i,phrasebook,,good evening; good night,,,https://en.wiktionary.org/wiki/maayong_gab-i
palangga ta ka,phrasebook,,"I love you
Synonym: ginahigugma ko ikaw",,,https://en.wiktionary.org/wiki/palangga_ta_ka
bago,phrasebook,,"new (recently made or introduced)
Antonyms: luma, daan",,,https://en.wiktionary.org/wiki/bago
buot,phrasebook,,to rub,,,https://en.wiktionary.org/wiki/buot
sulud,phrasebook,,nominative plural of sulg,,,https://en.wiktionary.org/wiki/sulud
adto,pronoun,,to go there (to a place far from both the speaker and listener),,,https://en.wiktionary.org/wiki/adto
ako,pronoun,,(international standards) ISO 639-3 language code for Akurio.,,,https://en.wiktionary.org/wiki/ako
aton,pronoun,,us,,,https://en.wiktionary.org/wiki/aton
daya,pronoun,,(anatomy) blood,,,https://en.wiktionary.org/wiki/daya
ikaw,pronoun,,you,,,https://en.wiktionary.org/wiki/ikaw
ini,pronoun,,"(Balakan, Qakh, Sheki, Zaqatala) husband's brother
Synonym: qayın",,,https://en.wiktionary.org/wiki/ini
iya,pronoun,,(international standards) ISO 639-3 language code for Iyayu.,,,https://en.wiktionary.org/wiki/iya
kami,pronoun,,"(religion, Shinto) An animistic god or spirit in the Shinto religion of Japan.
2000, Ree Soesbee, “Armies on the March”, in The Crane (Legend of the Five Rings), Renton, Wash.: Wizards of the Coast, →ISBN, page 96:Chanting the mantra of the fire kami, they called to the blaze, summoning the heart of each flickering flame to life.
2021, Marie Brennan [pseudonym; Bryn Neuenschwander], chapter 18, in The Night Parade of 100 Demons (Legend of the Five Rings), Nottingham, Nottinghamshire: Aconyte Books, →ISBN, page 211:But Ryōtora had definitely moved a shintai during the makeshift festival – and it must have been Saiun-nushi’s, because Sekken couldn’t imagine the shugenja could call a kami into a foreign vessel without noticing.",,,https://en.wiktionary.org/wiki/kami
kamo,pronoun,,(in the plural) you,,,https://en.wiktionary.org/wiki/kamo
kita,pronoun,,we (inclusive),,,https://en.wiktionary.org/wiki/kita
sila,pronoun,,cross-legged seating position,,,https://en.wiktionary.org/wiki/sila
sin-o,pronoun,,who,,,https://en.wiktionary.org/wiki/sin-o
siya,pronoun,,alternative form of siella,,,https://en.wiktionary.org/wiki/siya
yari,pronoun,,(weaponry) Any of various sizes of spear used in Japanese martial arts.,,,https://en.wiktionary.org/wiki/yari
ab-ab,verb,,to eat,,,https://en.wiktionary.org/wiki/ab-ab
aba,verb,,(international standards) ISO 639-3 language code for Abé.,,,https://en.wiktionary.org/wiki/aba
abaga,verb,,(anatomy) shoulder,,,https://en.wiktionary.org/wiki/abaga
abak,verb,,abacus,,,https://en.wiktionary.org/wiki/abak
abak-abak,verb,,diminutive of ábak,,,https://en.wiktionary.org/wiki/abak-abak
aban,verb,,one,,,https://en.wiktionary.org/wiki/aban
abaniko,verb,,"hand fan
Synonyms: kayab, kabkab, pamaypay, yapyap",,,https://en.wiktionary.org/wiki/abaniko
abang,verb,,window (opening for light and air),,,https://en.wiktionary.org/wiki/abang
abang-abang,verb,,"midnight horror (Oroxylum indicum, a tree where its leaves are used as a plaster in treating boils and other swollen body parts)",,,https://en.wiktionary.org/wiki/abang-abang
abat,verb,,abbot (superior of an abbey),,,https://en.wiktionary.org/wiki/abat
abat-abat,verb,,diminutive of ábat,,,https://en.wiktionary.org/wiki/abat-abat
abay,verb,,(obsolete) Barking or baying of dogs at their prey. [Attested from around (1150 to 1350) until the late 17th century.][1],,,https://en.wiktionary.org/wiki/abay
abay-abay,verb,,diminutive of abáy,,,https://en.wiktionary.org/wiki/abay-abay
abi,verb,,(international standards) ISO 639-3 language code for Abidji.,,,https://en.wiktionary.org/wiki/abi
abi-abi,verb,,greeting; salutation,,,https://en.wiktionary.org/wiki/abi-abi
abian,verb,,"underway, running",,,https://en.wiktionary.org/wiki/abian
abiar,verb,,to invite,,,https://en.wiktionary.org/wiki/abiar
abibar,verb,,"to urge, encourage, rouse",,,https://en.wiktionary.org/wiki/abibar
abiog,verb,,"to move to and fro, to swing or rock",,,https://en.wiktionary.org/wiki/abiog
abisar,verb,,"to advise, inform, notify",,,https://en.wiktionary.org/wiki/abisar
abiso,verb,,"advisory; announcement; notice; warning
Synonym: pahibalo",,,https://en.wiktionary.org/wiki/abiso
ablang,verb,,"breadth, width",,,https://en.wiktionary.org/wiki/ablang
ablay,verb,,shawl,,,https://en.wiktionary.org/wiki/ablay
abo,verb,,(international standards) ISO 639-3 language code for Abon.,,,https://en.wiktionary.org/wiki/abo
abo-abo,verb,,"the color of ash, ashen",,,https://en.wiktionary.org/wiki/abo-abo
abonar,verb,,"to accredit, to make (someone) appear good",,,https://en.wiktionary.org/wiki/abonar
aboy,verb,,"spouse
Synonyms: asawa, abuyan
kang aboy ― my spouse",,,https://en.wiktionary.org/wiki/aboy
abrasita,verb,,hug,,,https://en.wiktionary.org/wiki/abrasita
abraso,verb,,first-person singular present indicative of abrasar,,,https://en.wiktionary.org/wiki/abraso
abri,verb,,(geology) a shelter; a cavity in a hillside; a shelter on the side of hill with an overhung rock as its roof[1] [First attested in the early 19th century.][2],,,https://en.wiktionary.org/wiki/abri
abrisita,verb,,alternative spelling of abrasíta,,,https://en.wiktionary.org/wiki/abrisita
abtan,verb,,arrive,,,https://en.wiktionary.org/wiki/abtan
abud,verb,,"(rare) budding
1923, Julie M. Lippmann, Dreamland:[…]  he began to whistle merrily, and in an instant the whole world about him was bright of hue and joyous again, and looking, he saw, to his amazement, that the bare branches were abud.",,,https://en.wiktionary.org/wiki/abud
abukay,verb,,red-vented cockatoo (Cacatua haematuropygia),,,https://en.wiktionary.org/wiki/abukay
abung,verb,,to intercept; to stop; to catch,,,https://en.wiktionary.org/wiki/abung
abusar,verb,,"(intransitive, abusar de) to abuse (use improperly)",,,https://en.wiktionary.org/wiki/abusar
abuso,verb,,abuse,,,https://en.wiktionary.org/wiki/abuso
abut,verb,,"(intransitive) To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land) [First attested around 1350 to 1470.][3]
It was a time when Germany still abutted upon Russia.
His land abuts on the road.",,,https://en.wiktionary.org/wiki/abut
abut-abut,verb,,frequentative of abút,,,https://en.wiktionary.org/wiki/abut-abut
abwa,verb,,make,,,https://en.wiktionary.org/wiki/abwa
abyog,verb,,"to swing, oscillate",,,https://en.wiktionary.org/wiki/abyog
adorno,verb,,"A clay ornament attached to a piece of pottery, usually at the rim.
1999, Clarence Bloomfield Moore, Jeffrey M. Mitchem, The West and Central Florida Expeditions of Clarence Bloomfield Moore, page 25:Willey (1949:324) suggested that this mound probably dates to late Weeden Island times, though the bird head rim adorno (Luer 1992a:54, Figure Id; Moore 1903:Figure 63) might indicate a Safety Harbor component.",,,https://en.wiktionary.org/wiki/adorno
agao,verb,,to seize or take by force,,,https://en.wiktionary.org/wiki/agao
agda,verb,,"to invite
Synonyms: alok, imbitar, kombida",,,https://en.wiktionary.org/wiki/agda
agi,verb,,(international standards) ISO 639-3 language code for Agariya.,,,https://en.wiktionary.org/wiki/agi
agwanta,verb,,to endure; to put up with; to tolerate,,,https://en.wiktionary.org/wiki/agwanta
akal-akal,verb,,to bubble or seethe,,,https://en.wiktionary.org/wiki/akal-akal
alagad,verb,,"but; however; yet
Synonyms: pero, ugaring",,,https://en.wiktionary.org/wiki/alagad
alamilaw,verb,,to doze,,,https://en.wiktionary.org/wiki/alamilaw
alinga,verb,,"to watch; to see over; to supervise
Synonym: anila",,,https://en.wiktionary.org/wiki/alinga
alipasa,verb,,"hurry, rush",,,https://en.wiktionary.org/wiki/alipasa
almoranas,verb,,(pathology) hemorrhoid,,,https://en.wiktionary.org/wiki/almoranas
amba,verb,,"A characteristic landform in Ethiopia: a steep-sided, flat-topped mountain, often the site of a settlement.",,,https://en.wiktionary.org/wiki/amba
amoma,verb,,"regale, treat with food and drink",,,https://en.wiktionary.org/wiki/amoma
ampo,verb,,A Javan snack food consisting of thin sticks of baked earth.,,,https://en.wiktionary.org/wiki/ampo
anad,verb,,"accustomed to; skilled at; expert in
Synonym: antigo
Anad yi kami sa kainda pag buhay.We are already accustomed to this way of life.",,,https://en.wiktionary.org/wiki/anad
anila,verb,,beehive,,,https://en.wiktionary.org/wiki/anila
aninaw,verb,,to observe carefully,,,https://en.wiktionary.org/wiki/aninaw
ankla,verb,,anchor,,,https://en.wiktionary.org/wiki/ankla
angkab,verb,,a take a bite,,,https://en.wiktionary.org/wiki/angkab
arado,verb,,plow/plough,,,https://en.wiktionary.org/wiki/arado
asin,verb,,salt,,,https://en.wiktionary.org/wiki/asin
aslum,verb,,sourness,,,https://en.wiktionary.org/wiki/aslum
aso,verb,,(international standards) ISO 639-3 language code for Dano.,,,https://en.wiktionary.org/wiki/aso
aspalto,verb,,asphalt,,,https://en.wiktionary.org/wiki/aspalto
athag,verb,,"clear, distinct",,,https://en.wiktionary.org/wiki/athag
atubang,verb,,"manner of facing on a position
Synonym: hampang",,,https://en.wiktionary.org/wiki/atubang
awat,verb,,Manila hemp (fiber of an abaca),,,https://en.wiktionary.org/wiki/awat
ayag,verb,,sift,,,https://en.wiktionary.org/wiki/ayag
ayo,verb,,"(slang) A greeting.
Synonyms: hey, hi, yo
2004, Michael Daniel Baptiste, Cracked Dreams, page 73:""Ayo, Red. It's the homie Spits on the jack for you, blood."" ""Ayo, homeboy,"" said Red as he excitedly picked up the telephone receiver. ""What's up, fool?""
2007, Reginald L. Hall, In Love with a Thug, page 38:“Ayo, wassup, girl,” he said to Keisha as he continued to walk toward the back area where I stood.  […]  “Ayo, wassup, playa?
2007, Tony J. Ward, Jr., I've Got to Make It to Heaven for Going Through Hell: Part 1, page 39:Ayo Toine, you think they'd put me down?
2007, Nikki Turner, Christmas in the Hood, page 289:""Ayo, fam, you a'ight down there?"" Victorious's cell mate asked.
2008, Treasure Hernandez, Resurrection, page 106:""Ayo, ma, where you going?"" a dude asked her as she walked by him.
2008, Ashley JaQuavis, The Trophy Wife, page 103:""Ayo, Kalil!"" a man's voice said from amidst the crowd. Kalil looked up and saw his lil' man, Peanut, distributing packets of heroin and taking money from the fiends.
2010, R Green Damon, Somethin' to Think about, page 197:""Ayo, Cee, listen to this shit here,"" said Matt, passing him his cell.",,,https://en.wiktionary.org/wiki/ayo
baak,verb,,crevice,,,https://en.wiktionary.org/wiki/baak
baas,verb,,"(South Africa) An employer, a boss (frequently used as a form of address).
1979, André Brink, A Dry White Season, Vintage, published 1998, page 40:‘That's not what I'm complaining about, Baas,’ said Gordon.
1932, George Bernard Shaw, The Adventures of the Black Girl in her Search for God, Hesperus Press Limited, published 1961, page 11:‘Excuse me, baas,’ she said, 'you have knowing eyes.'",,,https://en.wiktionary.org/wiki/baas
badlak,verb,,"beam, dazzle, sparkle",,,https://en.wiktionary.org/wiki/badlak
bahon,verb,,"sneeze
Synonym: hatsing",,,https://en.wiktionary.org/wiki/bahon
bahoy,verb,,"witch, sorceress",,,https://en.wiktionary.org/wiki/bahoy
bailo,verb,,"(historical) title of the Venetian envoy to particularly the Sublime Porte
1886, The Journal of Hellenic Studies, volume 7, page 328:Venice engaged to restore to the triarchs all property which the baili had conferred in fief since 1255.
2010, Gábor Ágoston, Encyclopedia of the Ottoman Empire, page 73:In 1670 the bailo was considered responsible for all the Venetian consuls in the Ottoman Empire.",,,https://en.wiktionary.org/wiki/bailo
bais,verb,,plural of bai,,,https://en.wiktionary.org/wiki/bais
bakal,verb,,male kid (baby goat),,,https://en.wiktionary.org/wiki/bakal
balatian,verb,,feeling; sensitivity,,,https://en.wiktionary.org/wiki/balatian
baleu,verb,,to change; to transform; to transmogrify,,,https://en.wiktionary.org/wiki/baleu
balhag,verb,,"printed, published",,,https://en.wiktionary.org/wiki/balhag
balhas,verb,,sweat,,,https://en.wiktionary.org/wiki/balhas
balhin,verb,,"alter, change, transform",,,https://en.wiktionary.org/wiki/balhin
bali,verb,,offering,,,https://en.wiktionary.org/wiki/bali
balibad,verb,,to refuse,,,https://en.wiktionary.org/wiki/balibad
baligya,verb,,"goods, merchandise",,,https://en.wiktionary.org/wiki/baligya
balita,verb,,news,,,https://en.wiktionary.org/wiki/balita
balo,verb,,"ruining, spoiling, destruction",,,https://en.wiktionary.org/wiki/balo
banta,verb,,to warn someone not to do something,,,https://en.wiktionary.org/wiki/banta
bantay,verb,,attendant,,,https://en.wiktionary.org/wiki/bantay
banga,verb,,five,,,https://en.wiktionary.org/wiki/banga
bangis,verb,,"violence; cruelty
Synonyms: isog, kuri, ringis",,,https://en.wiktionary.org/wiki/bangis
bangon,verb,,to get up,,,https://en.wiktionary.org/wiki/bangon
bangot,verb,,"bind, tie",,,https://en.wiktionary.org/wiki/bangot
barit,verb,,to sharpen,,,https://en.wiktionary.org/wiki/barit
bas-on,verb,,"to be damp, or wet",,,https://en.wiktionary.org/wiki/bas-on
basa,verb,,"The catfish Pangasius bocourti.
Synonyms: (Britain) cobbler, river cobbler",,,https://en.wiktionary.org/wiki/basa
basa-basa,verb,,to leaf through; to peruse; to skim,,,https://en.wiktionary.org/wiki/basa-basa
basol,verb,,"blame; reproach
Synonym: sudya",,,https://en.wiktionary.org/wiki/basol
bata,verb,,"A ceremonial double-headed drum played in triplet in the religion of santería, especially in Cuba and Puerto Rico, originally from the Yoruba of Nigeria.
1990 October 28, Paul Simon, “The Rhythm of the Saints”, in The Coast, Warner Bros.:Two guitars, bata, bass drum and tambourine.
2019, Marlon James, Black Leopard, Red Wolf, Hamish Hamilton, page 283:Five drummers in front setting the dance—three beating barrel drums, a fourth beating a double-skin bata, and the fifth beating four small bata tied together.",,,https://en.wiktionary.org/wiki/bata
bati,verb,,"Alternative form of batty (“buttocks, anus; homosexual man”).",,,https://en.wiktionary.org/wiki/bati
bato,verb,,stone,,,https://en.wiktionary.org/wiki/bato
batok,verb,,bark (loud utterance by a dog),,,https://en.wiktionary.org/wiki/batok
baton,verb,,"A staff or truncheon, used for various purposes.",,,https://en.wiktionary.org/wiki/baton
bawi,verb,,woman,,,https://en.wiktionary.org/wiki/bawi
bayaw,verb,,"brother-in-law
Synonym: kunyado",,,https://en.wiktionary.org/wiki/bayaw
baylo,verb,,"change, exchange, replace",,,https://en.wiktionary.org/wiki/baylo
bendisyon,verb,,"benediction, blessing",,,https://en.wiktionary.org/wiki/bendisyon
bendita,verb,,holy water,,,https://en.wiktionary.org/wiki/bendita
bihag,verb,,captive (one who has been captured),,,https://en.wiktionary.org/wiki/bihag
bika,verb,,to spread one's legs,,,https://en.wiktionary.org/wiki/bika
bilanggo,verb,,to imprison; to jail,,,https://en.wiktionary.org/wiki/bilanggo
bilid,verb,,mountain,,,https://en.wiktionary.org/wiki/bilid
bilin,verb,,(biochemistry) Any of various biological pigments formed in many organisms as a metabolic product of certain porphyrins.,,,https://en.wiktionary.org/wiki/bilin
bilwa,verb,,Alternative form of vilwa.,,,https://en.wiktionary.org/wiki/bilwa
bino,verb,,(physics) The superpartner of the gauge boson corresponding to weak hypercharge. The W and Z bosons are electroweakinos: winos and binos.,,,https://en.wiktionary.org/wiki/bino
bisyo,verb,,"bad, wicked, naughty, disobedient",,,https://en.wiktionary.org/wiki/bisyo
bitas,verb,,to rip; to tear apart,,,https://en.wiktionary.org/wiki/bitas
bitay,verb,,"to hang
to be or remain suspended
to cause (something) to be suspended, as from a hook, hanger, or the like
to execute (someone) by suspension from the neck
to be executed by suspension by one's neck from a gallows, a tree, or other raised bar, attached by a rope tied into a noose
to decorate (something) with hanging objects
(computing) to stop responding to manual input devices such as keyboard and mouse
(computing) to cause (a program or computer) to stop responding",,,https://en.wiktionary.org/wiki/bitay
bitin,verb,,"a snake; a legless reptile of the sub-order Serpentes with a long, thin body and a fork-shaped tongue",,,https://en.wiktionary.org/wiki/bitin
bobo,verb,,"A materialistic person who affects an anti-materialistic persona.
2000, David Brooks, Bobos in Paradise […] , Simon & Schuster, →ISBN, page 207:The small things—an olive grove or a small chapel—take on greater meaning to a Bobo on vacation.
2011 April 12, Alex Lobrano, “Bobo Heaven in Paris”, in T Magazine‎[1], retrieved 26 June 2019:Peruse the Paris papers these days and you'll notice an obsession with bobos: no, they're not a team of cheerleaders or a troupe of clowns, but rich, artsy types known as  bourgeois bohemians,  who are now pretty much the tip of Parisian tastemakers. So when friends who were recently staying in Saint Germain des Pres asked me where to go to people watch, I told them to head for the Ninth Arrondissement  citadel of bobo cool.",,,https://en.wiktionary.org/wiki/bobo
bokbok,verb,,a type of boring insect,,,https://en.wiktionary.org/wiki/bokbok
budhi,verb,,to betray,,,https://en.wiktionary.org/wiki/budhi
bug-os,verb,,"complete, whole",,,https://en.wiktionary.org/wiki/bug-os
bugalon,verb,,to be or become proud,,,https://en.wiktionary.org/wiki/bugalon
bugas,verb,,"milled rice, white rice",,,https://en.wiktionary.org/wiki/bugas
bugay,verb,,to give,,,https://en.wiktionary.org/wiki/bugay
bugkos,verb,,"bundle, parcel",,,https://en.wiktionary.org/wiki/bugkos
bugsay,verb,,"oar, paddle",,,https://en.wiktionary.org/wiki/bugsay
bugto,verb,,to snap; to fracture or break apart suddenly,,,https://en.wiktionary.org/wiki/bugto
buhat,verb,,"raise; lift; act of picking up something heavy
Synonyms: alsa, tuon",,,https://en.wiktionary.org/wiki/buhat
buhin,verb,,subtraction,,,https://en.wiktionary.org/wiki/buhin
buk-on,verb,,to cut or open,,,https://en.wiktionary.org/wiki/buk-on
bukad,verb,,to expand,,,https://en.wiktionary.org/wiki/bukad
